source_group,price,area_total,rooms,floor,floors_total,address,latitude,longitude,metro,metro_walk_min,kitchen_area,renovation,walls,build_year,ceiling_height,floor_position,elevator,house_number,yard,parking,playground,link,address_source,metro_distance_km,metro_source,distance_to_center_km,distance_to_mkad_km,distance_to_school_km,distance_to_kindergarten_km,distance_to_clinic_km,distance_to_mall_km,price_per_m2,floor_ratio,house_age,has_metro_near,district_cluster,is_synthetic,augmentation_copy
2k,4000000.0,65.0,2.0,8.0,12.0,"8, 5-й квартал капотня, район капотня, москва, центральный федеральный округ, 109649, россия",55.630482,37.795035,Алма-Атинская,22.0,10.0,косметический ремонт,панельные,1981.0,2.64,не угловая,"пассажирский, грузовой",8,двор,наземный паркинг,есть,https://msk.etagi.com/realty/12102660/,geo,1.87,geo_recomputed,17.6,0.43,0.12,0.12,0.92,0.14,61538.46153846154,0.6666666666666666,45.0,0.0,18,0,0
all-ochakovo-matveevskoe,18000000.0,37.6,1.0,11.0,17.0,"москва, ул. озёрная, 4к2",55.687594,37.46547,Очаково I,12.0,11.0,unknown,панельные,2011.0,2.68,не угловая,"пассажирский, грузовой",4к2,двор,наземный паркинг,нет,https://msk.etagi.com/realty/12631610/,raw,0.99,geo_recomputed,11.83,3.01,0.34,0.11,0.41,0.84,478723.4042553191,0.6470588235294118,15.0,1.0,15,0,0
1k,12800000.0,36.2,1.0,12.0,17.0,"москва, ул. снайперская, 2к1",55.725316,37.815983,Выхино,12.0,9.0,косметический ремонт,панельные,1999.0,2.68,не угловая,unknown,2к1,детская площадка,unknown,нет,https://msk.etagi.com/realty/12609413/,raw,0.97,geo_recomputed,12.9,1.48,0.28,0.3,0.47,0.21,353591.16022099444,0.7058823529411765,27.0,1.0,4,0,0
3k,21490000.0,52.0,3.0,3.0,9.0,"москва, ул. аминьевское шоссе, 32",55.719678,37.451707,Давыдково,6.0,6.3,косметический ремонт,блочные,1974.0,2.64,не угловая,"пассажирский, грузовой",32,двор,"наземный паркинг, гостевой паркинг",есть,https://msk.etagi.com/realty/10127871/,raw,0.49,geo_recomputed,10.88,3.82,0.33,0.12,0.43,0.2,413269.2307692307,0.3333333333333333,52.0,1.0,15,0,0
all-ramenki,51000000.0,114.9,4.0,23.0,66.0,"москва, ул. проспект генерала дорохова, 49 (10 км до центра)",55.708795,37.493272,Матвеевское,10.0,6.0,черновая отделка,монолитные,2002.0,3.1,не угловая,unknown,49,двор,"подземный паркинг, гостевой паркинг, наземный паркинг",нет,https://msk.etagi.com/realty/8498443/,raw,0.83,geo_recomputed,9.05,5.42,0.47,0.45,0.61,0.53,443864.22976501303,0.3484848484848485,24.0,1.0,15,0,0
all-kosino-ukhtomskii,9199000.0,28.6,0.0,12.0,25.0,"ecoplatform, 13 к1, улица юности, красная горка, люберцы, городской округ люберцы, московская область, центральный федеральный округ, 140013, россия",55.705097,37.905716,Лухмановская,5.0,6.0,unknown,другое,2002.0,2.8,не угловая,unknown,13,двор,наземный паркинг,нет,https://msk.etagi.com/realty/12030545/,geo,0.45,geo_recomputed,18.91,4.35,0.84,0.71,1.4,0.64,321643.3566433566,0.48,24.0,1.0,22,0,0
2k,16800000.0,42.9,2.0,12.0,20.0,"москва, ул. новодачная, 67/68",55.922651,37.534065,Новодачная,5.0,10.0,ремонт по дизайн-проекту,монолитный железобетонный каркас,2002.0,2.68,,unknown,,unknown,unknown,,https://msk.etagi.com/realty/10276223/,raw,0.43,geo_recomputed,19.63,1.72,0.69,0.47,0.49,0.47,391608.3916083916,0.6,24.0,1.0,16,0,0
all,85000000.0,130.0,4.0,4.0,25.0,"москва, ул. береговой проезд, 1к",55.756964,37.513332,Шелепиха,9.0,20.0,unknown,кирпич красный,2002.0,2.68,не угловая,unknown,1к,парковка,наземный паркинг,нет,https://msk.etagi.com/realty/12467197/,raw,0.77,geo_recomputed,6.42,9.01,0.34,0.17,0.26,0.28,653846.1538461539,0.16,24.0,1.0,10,0,0
all,10000000.0,23.7,0.0,2.0,21.0,"москва, ул. востряковское шоссе, 7с1",55.661577,37.453908,Озёрная,11.0,4.0,современный ремонт,панельные,2002.0,2.64,не угловая,грузовой,7с1,двор,подземный паркинг,нет,https://msk.etagi.com/realty/10872768/,raw,0.96,geo_recomputed,14.29,1.09,0.57,0.49,0.87,0.46,421940.92827004223,0.0952380952380952,24.0,1.0,9,0,0
all-preobrazhenskoe,10800000.0,20.7,1.0,6.0,9.0,"москва, ул. халтуринская, 18",55.80481,37.726313,Черкизовская,14.0,3.5,косметический ремонт,монолитные,1972.0,2.5,не угловая,пассажирский,18,двор,наземный паркинг,нет,https://msk.etagi.com/realty/12510487/,raw,1.18,geo_recomputed,9.06,6.35,0.11,0.46,0.45,0.24,521739.13043478265,0.6666666666666666,54.0,1.0,23,0,0
all,22500000.0,58.0,3.0,8.0,9.0,"москва, ул. загородное шоссе, 6к1",55.693703,37.605858,Крымская,5.0,15.0,евроремонт,кирпичные,2002.0,2.68,,unknown,,unknown,unknown,,https://msk.etagi.com/realty/9797481/,raw,0.41,geo_recomputed,6.53,11.03,0.14,0.11,0.13,0.21,387931.0344827586,0.8888888888888888,24.0,1.0,2,0,0
all,16700000.0,35.5,1.0,5.0,12.0,"горздрав, улица лобановский лес, жилой комплекс «прокшино», район коммунарка, москва, центральный федеральный округ, 108802, россия",55.594296,37.428917,Филатов луг,18.0,10.0,евроремонт,монолитные,2002.0,2.68,не угловая,unknown,11,двор,"наземный паркинг, подземный паркинг",нет,https://msk.etagi.com/realty/11872749/,geo,1.47,geo_recomputed,21.1,4.34,0.19,0.27,1.75,1.54,470422.5352112676,0.4166666666666667,24.0,0.0,12,0,0
all,26780000.0,56.0,2.0,11.0,16.0,"москва, ул. щёлковское шоссе, 74",55.810127,37.810737,Щелковская,9.0,12.0,косметический ремонт,панельные,2002.0,2.7,не угловая,"пассажирский, грузовой",74,двор,наземный паркинг,нет,https://msk.etagi.com/realty/12302381/,raw,0.78,geo_recomputed,13.8,1.78,0.3,0.26,0.22,0.09,478214.28571428574,0.6875,24.0,1.0,4,0,0
all-ochakovo-matveevskoe,27000000.0,30.0,0.0,10.0,21.0,"москва, ул. очаковское шоссе, 9а (12 км до центра)",55.693683,37.460259,Аминьевская,6.0,4.4,unknown,монолитные,2023.0,2.74,не угловая,unknown,9а,двор,"подземный паркинг, наземный паркинг",нет,https://msk.etagi.com/realty/12540774/,raw,0.46,geo_recomputed,11.7,2.93,0.28,0.13,0.5,0.26,900000.0,0.4761904761904761,3.0,1.0,15,0,0
all,16200000.0,34.0,1.0,13.0,23.0,"москва, ул. волоколамское шоссе, 71/22к3",55.822251,37.435897,Тушинская,4.0,10.0,ремонт по дизайн-проекту,монолитно-кирпичный,2022.0,2.68,,unknown,,unknown,unknown,,https://msk.etagi.com/realty/2510277/,raw,0.37,geo_recomputed,13.67,2.67,0.71,0.46,0.55,0.29,476470.5882352941,0.5652173913043478,4.0,1.0,16,0,0
2k,39900000.0,68.3,2.0,7.0,18.0,"москва, ул. лазоревый проезд, 5к4 (10 км до центра)",55.84771,37.636599,Ботанический сад,4.0,9.0,евроремонт,монолитные,2016.0,3.0,не угловая,"пассажирский, грузовой",5к4,двор,"наземный паркинг, гостевой паркинг",есть,https://msk.etagi.com/realty/11959490/,raw,0.33,geo_recomputed,10.7,5.5,0.22,0.41,0.39,0.11,584187.4084919473,0.3888888888888889,10.0,1.0,1,0,0
2k,14000000.0,35.4,2.0,10.0,20.0,"москва, ул. производственная, 19ак2 (20 км до центра)",55.644318,37.380687,Новопеределкино,7.0,8.0,черновая отделка,блочные+кирпич,2002.0,2.68,,unknown,,unknown,unknown,,https://msk.etagi.com/realty/9574366/,raw,0.57,geo_recomputed,18.99,3.81,0.48,0.35,0.76,0.82,395480.2259887006,0.5,24.0,1.0,0,0,0
3k,26300000.0,55.0,3.0,22.0,47.0,"москва, ул. новодмитровская, 2к6 (6 км до центра)",55.802998,37.591503,Дмитровская,10.0,17.0,unknown,монолитно-каркасные,2017.0,2.64,не угловая,"пассажирский, грузовой, пассажирский и грузовой",2к6,двор,наземный паркинг,есть,https://msk.etagi.com/realty/10291865/,raw,0.83,geo_recomputed,5.85,10.97,0.26,0.32,0.06,0.44,478181.8181818182,0.4680851063829787,9.0,1.0,19,0,0
all-zamoskvorechie,48000000.0,57.0,2.0,7.0,9.0,"москва, ул. космодамианская набережная, 4/22а (2 км до центра)",55.743634,37.640488,Новокузнецкая,9.0,8.0,unknown,кирпичные,1962.0,3.0,не угловая,"пассажирский, грузовой",4/22а,двор,"наземный паркинг, парковка во дворе",нет,https://msk.etagi.com/realty/12439612/,raw,0.72,geo_recomputed,1.83,12.61,0.21,0.29,0.05,0.41,842105.2631578947,0.7777777777777778,64.0,1.0,8,0,0
all,65000000.0,60.4,2.0,7.0,8.0,"москва, ул. большая садовая, 1",55.766375,37.590677,Маяковская,6.0,9.5,косметический ремонт,кирпичные,1939.0,3.2,не угловая,unknown,1,двор,"наземный паркинг, гостевой паркинг",нет,https://msk.etagi.com/realty/10934717/,raw,0.51,geo_recomputed,2.22,13.49,0.28,0.2,0.09,0.31,1076158.940397351,0.875,87.0,1.0,8,0,0
all,49000000.0,139.1,3.0,56.0,58.0,"москва, ул. проспект мира, 188бк1",55.834472,37.65805,Ростокино,10.0,38.0,черновая отделка,монолитные,2014.0,2.64,не угловая,"пассажирский, грузовой",188бк1,двор,"наземный паркинг, гостевой паркинг",есть,https://msk.etagi.com/realty/9685045/,raw,0.82,geo_recomputed,9.53,6.79,0.21,0.28,0.3,0.25,352264.5578720345,0.9655172413793104,12.0,1.0,1,0,0
all-vostochnoe-degunino,14990000.0,37.9,2.0,13.0,14.0,"москва, ул. дубнинская, 2к3",55.856593,37.567662,Верхние Лихоборы,4.0,6.0,без отделки,блочные,1972.0,2.64,не угловая,"пассажирский, грузовой",2к3,двор,"наземный паркинг, гостевой паркинг",есть,https://msk.etagi.com/realty/12429167/,raw,0.32,geo_recomputed,11.99,5.85,0.17,0.24,0.31,0.36,395514.51187335094,0.9285714285714286,54.0,1.0,1,0,0
1k,17800000.0,35.0,1.0,5.0,16.0,"москва, ул. яблочкова, 37в (9 км до центра)",55.826427,37.575989,Фонвизинская,10.0,10.0,евроремонт,блочные,1982.0,2.48,не угловая,"пассажирский, грузовой",37в,двор,"наземный паркинг, гостевой паркинг",нет,https://msk.etagi.com/realty/12445412/,raw,0.86,geo_recomputed,8.62,8.77,0.17,0.12,0.24,0.34,508571.4285714286,0.3125,44.0,1.0,19,0,0
all,28200000.0,59.0,3.0,7.0,9.0,"москва, ул. стройковская, 10 (4 км до центра)",55.73408,37.673358,Пролетарская,6.0,6.0,евроремонт,панельные,2002.0,2.64,не угловая,unknown,10,двор,наземный паркинг,есть,https://msk.etagi.com/realty/11805069/,raw,0.49,geo_recomputed,4.14,10.48,0.12,0.12,0.21,0.12,477966.10169491527,0.7777777777777778,24.0,1.0,13,0,0
all,77000000.0,145.0,5.0,12.0,22.0,"москва, ул. волоколамское шоссе, 71к4",55.818206,37.431507,Спартак,3.0,31.7,евроремонт,монолитно-каркасные,2020.0,2.68,,unknown,,unknown,unknown,,https://msk.etagi.com/realty/10057194/,raw,0.23,geo_recomputed,13.65,2.46,0.19,0.22,0.38,0.64,531034.4827586206,0.5454545454545454,6.0,1.0,16,0,0
all,10500000.0,43.5,2.0,9.0,9.0,"москва, ул. головачёва, 13",55.673407,37.8093,Люблино,36.0,6.0,косметический ремонт,кирпичные,1969.0,2.64,не угловая,"пассажирский, грузовой",13,двор,"наземный паркинг, гостевой паркинг",есть,https://msk.etagi.com/realty/9641468/,raw,3.01,geo_recomputed,14.97,1.62,0.11,0.22,0.36,0.13,241379.3103448276,1.0,57.0,0.0,18,0,0
4k,56000000.0,95.0,4.0,11.0,30.0,"москва, ул. никулинская, 8к3",55.66894,37.467365,Озёрная,13.0,9.0,современный ремонт,монолитные,2019.0,2.64,не угловая,unknown,8к3,двор,"наземный паркинг, гостевой паркинг",есть,https://msk.etagi.com/realty/10858822/,raw,1.12,geo_recomputed,13.11,2.25,0.15,0.14,0.31,0.48,589473.6842105263,0.3666666666666666,7.0,1.0,9,0,0
all,14950000.0,36.3,1.0,11.0,12.0,"москва, ул. автомобильный проезд, 4с4 (6 км до центра)",55.730193,37.697576,Калитники,6.0,6.5,требует ремонта / частичный ремонт,кирпичная вставка,2025.0,3.0,не угловая,unknown,4с4,двор,подземный паркинг,нет,https://msk.etagi.com/realty/11778740/,raw,0.51,geo_recomputed,5.68,8.93,0.61,0.65,0.76,0.25,411845.7300275482,0.9166666666666666,1.0,1.0,13,0,0
all-moskvorechie-saburovo,16300000.0,38.5,1.0,3.0,17.0,"москва, ул. борисовские пруды, 25к1",55.635696,37.724912,Борисово,15.0,7.3,косметический ремонт,панели железобетонные,2002.0,2.7,не угловая,"грузовой, пассажирский",25к1,парковка,наземный паркинг,нет,https://msk.etagi.com/realty/12404887/,raw,1.21,geo_recomputed,14.65,3.94,0.15,0.23,1.01,0.63,423376.6233766234,0.1764705882352941,24.0,1.0,20,0,0
1k,13000000.0,35.9,1.0,1.0,16.0,"москва, ул. паустовского, 8к3 (17 км до центра)",55.59999,37.536331,Ясенево,9.0,9.0,косметический ремонт,панельные,1977.0,2.8,не угловая,"пассажирский, грузовой",8к3,двор,наземный паркинг,нет,https://msk.etagi.com/realty/11822468/,raw,0.71,geo_recomputed,17.64,1.03,0.11,0.12,0.24,0.16,362116.99164345406,0.0625,49.0,1.0,9,0,0
all,15550000.0,33.7,1.0,3.0,5.0,"москва, ул. мосфильмовская, 30",55.721011,37.522135,Минская,9.0,6.0,косметический ремонт — свежий,кирпичные,1959.0,2.68,,unknown,,unknown,unknown,,https://msk.etagi.com/realty/10472618/,raw,0.73,geo_recomputed,6.8,7.63,0.53,0.59,0.63,1.4,461424.3323442136,0.6,67.0,1.0,10,0,0
3k,73000000.0,105.0,3.0,8.0,27.0,"москва, ул. лобачевского, 120к2 (11 км до центра)",55.697351,37.473833,Аминьевская,5.0,30.0,unknown,монолитно-кирпичный,2022.0,3.0,не угловая,"пассажирский, грузовой",120к2,двор,"наземный паркинг, гостевой паркинг",есть,https://msk.etagi.com/realty/12440797/,raw,0.43,geo_recomputed,10.77,3.85,0.88,0.46,0.8,0.69,695238.0952380953,0.2962962962962963,4.0,1.0,15,0,0
all,15500000.0,67.4,2.0,7.0,25.0,"11 к4, улица никитина, первый московский, филимонковский район, московский, москва, центральный федеральный округ, 108811, россия",55.603237,37.375288,Филатов луг,25.0,12.7,черновая отделка,блоки железобетонные,2002.0,2.68,угловая,unknown,11к4,двор,наземный паркинг,нет,https://msk.etagi.com/realty/8517500/,geo,2.06,geo_recomputed,22.39,6.61,0.15,0.1,1.05,1.17,229970.32640949552,0.28,24.0,0.0,5,0,0
all,33900000.0,65.0,3.0,5.0,8.0,"москва, ул. новая басманная, 4-6с3",55.768881,37.653864,Красные ворота,5.0,9.0,косметический ремонт,кирпичные,1932.0,2.64,не угловая,"пассажирский, грузовой",4-6с3,двор,наземный паркинг,есть,https://msk.etagi.com/realty/12557623/,raw,0.38,geo_recomputed,3.03,11.86,0.08,0.24,0.13,0.25,521538.4615384616,0.625,94.0,1.0,8,0,0
3k,80000000.0,88.0,3.0,27.0,41.0,"москва, ул. шелепихинская набережная, 34к3зд6 (6 км до центра)",55.762505,37.516404,Шелепиха,10.0,5.0,евроремонт,монолитные,2002.0,3.0,угловая,unknown,34к3зд6,двор,подземный паркинг,нет,https://msk.etagi.com/realty/11770207/,raw,0.8,geo_recomputed,6.31,9.22,0.32,0.1,0.81,0.88,909090.9090909092,0.6585365853658537,24.0,1.0,10,0,0
all-chertanovo-yug,12600000.0,32.5,1.0,6.0,9.0,"москва, ул. дорожная, 23к2 (18 км до центра)",55.597169,37.6175,Красный строитель,10.0,6.6,косметический ремонт,блочные,2002.0,2.68,не угловая,unknown,23к2,детская площадка,unknown,нет,https://msk.etagi.com/realty/12514313/,raw,0.87,geo_recomputed,17.24,2.46,0.27,0.09,0.1,0.32,387692.3076923077,0.6666666666666666,24.0,1.0,9,0,0
all,15400000.0,50.2,2.0,8.0,14.0,"москва, ул. курганская, 12",55.829446,37.823394,Щелковская,32.0,8.0,евроремонт,панельные,1990.0,2.64,не угловая,unknown,12,двор,наземный паркинг,нет,https://msk.etagi.com/realty/12290472/,raw,2.68,geo_recomputed,15.57,0.22,0.19,0.1,1.03,0.38,306772.90836653387,0.5714285714285714,36.0,0.0,24,0,0
all,26400000.0,72.6,3.0,3.0,18.0,"москва, ул. базовская, 15к4 (18 км до центра)",55.879329,37.507906,Грачёвская,13.0,9.1,unknown,панельные,2014.0,2.8,не угловая,"пассажирский, грузовой",15к4,двор,наземный паркинг,есть,https://msk.etagi.com/realty/11678620/,raw,1.1,geo_recomputed,15.66,1.55,0.17,0.2,0.74,0.23,363636.3636363637,0.1666666666666666,12.0,1.0,6,0,0
1k,14990000.0,33.1,1.0,21.0,24.0,"москва, ул. производственная, 17 (19 км до центра)",55.644476,37.383391,Новопеределкино,7.0,15.0,черновая отделка,кирпичные,2002.0,2.68,не угловая,"грузовой, пассажирский",17,двор,"подземный паркинг, наземный паркинг",нет,https://msk.etagi.com/realty/12438526/,raw,0.61,geo_recomputed,18.85,3.65,0.34,0.25,0.59,0.75,452870.09063444106,0.875,24.0,1.0,0,0,0
2k,15000000.0,37.8,2.0,8.0,14.0,"москва, ул. палехская, 9к1 (12 км до центра)",55.866606,37.695357,Бабушкинская,24.0,6.0,требует ремонта / частичный ремонт,блочные,2002.0,2.68,угловая,"пассажирский, грузовой",9к1,двор,наземный паркинг,нет,https://msk.etagi.com/realty/11964725/,raw,1.99,geo_recomputed,13.66,2.56,0.2,0.31,0.5,0.61,396825.39682539686,0.5714285714285714,24.0,0.0,6,0,0
all,16000000.0,19.6,1.0,7.0,25.0,"москва, ул. люблинская, 80к3",55.660876,37.733976,Братиславская,11.0,6.0,косметический ремонт,монолитные,2002.0,2.7,не угловая,unknown,80к3,парковка,наземный паркинг,нет,https://msk.etagi.com/realty/12135516/,raw,0.93,geo_recomputed,12.57,5.55,0.48,0.39,0.81,0.16,816326.5306122449,0.28,24.0,1.0,20,0,0
all-taganskii,28710000.0,59.0,2.0,8.0,8.0,"москва, ул. воронцовская, 34с1",55.734506,37.661033,Крестьянская застава,4.0,10.0,косметический ремонт,панельные,2002.0,2.5,не угловая,"пассажирский, грузовой",34с1,двор,unknown,нет,https://msk.etagi.com/realty/12579179/,raw,0.37,geo_recomputed,3.46,11.26,0.16,0.35,0.24,0.36,486610.16949152545,1.0,24.0,1.0,8,0,0
all,20000000.0,59.7,2.0,5.0,20.0,"москва, ул. авиаконструктора миля, 26 (26 км до центра)",55.677412,37.858303,Котельники,4.0,10.1,косметический ремонт,монолитные,2005.0,2.8,не угловая,"пассажирский, грузовой",26,двор,наземный паркинг,есть,https://msk.etagi.com/realty/12300427/,raw,0.35,geo_recomputed,17.33,1.47,0.43,0.24,0.01,0.12,335008.37520938023,0.25,21.0,1.0,22,0,0
3k,75000000.0,120.4,3.0,30.0,35.0,"москва, ул. шмитовский проезд, 39к8 (6 км до центра)",55.751665,37.526295,Тестовская,3.0,23.8,современный ремонт,монолитно-кирпичный,2023.0,3.0,не угловая,unknown,39к8,двор,подземный паркинг,есть,https://msk.etagi.com/realty/582807/,raw,0.27,geo_recomputed,5.59,9.63,0.16,0.21,0.41,0.42,622923.5880398671,0.8571428571428571,3.0,1.0,19,0,0
all,27522000.0,88.1,3.0,10.0,10.0,"москва, ул. тайнинская, 9к1",55.881631,37.6835,Медведково,19.0,15.0,без отделки,монолитно-кирпичный,2022.0,2.6,угловая,"пассажирский, грузовой",9к1,двор,"наземный паркинг, гостевой паркинг",есть,https://msk.etagi.com/realty/12405785/,raw,1.55,geo_recomputed,15.0,1.46,0.37,0.3,0.37,0.47,312395.00567536894,1.0,4.0,0.0,6,0,0
all,14200000.0,36.0,1.0,3.0,5.0,"москва, ул. сходненская, 37",55.849767,37.438897,Сходненская,2.0,8.0,евроремонт,кирпичные,1964.0,2.68,,unknown,,unknown,unknown,,https://msk.etagi.com/realty/11830078/,raw,0.13,geo_recomputed,15.48,2.76,0.15,0.33,0.37,0.07,394444.4444444445,0.6,62.0,1.0,16,0,0
all,14500000.0,33.3,1.0,9.0,12.0,"москва, ул. болотниковская, 6кб (11 км до центра)",55.657022,37.612317,Варшавская,7.0,7.0,косметический ремонт,панели железобетонные,2002.0,2.68,не угловая,unknown,6кб,двор,наземный паркинг,нет,https://msk.etagi.com/realty/10844276/,raw,0.61,geo_recomputed,10.59,8.75,0.09,0.2,0.39,0.23,435435.43543543544,0.75,24.0,1.0,3,0,0
all-khoroshevskii,25000000.0,53.0,2.0,4.0,16.0,"москва, ул. хорошёвское шоссе, 64к1 (7 км до центра)",55.778831,37.530481,Хорошевская,9.0,9.2,евроремонт,панельные,2002.0,2.7,не угловая,"грузовой, пассажирский",64к1,двор,наземный паркинг,нет,https://msk.etagi.com/realty/12312593/,raw,0.72,geo_recomputed,6.09,9.47,0.1,0.13,0.1,0.12,471698.1132075472,0.25,24.0,1.0,19,0,0
all,15600000.0,46.0,2.0,9.0,12.0,"москва, ул. дегунинская, 13к2",55.864864,37.532592,Моссельмаш,6.0,6.7,косметический ремонт,панельные,1978.0,2.68,не угловая,unknown,13к2,двор,наземный паркинг,нет,https://msk.etagi.com/realty/11844417/,raw,0.49,geo_recomputed,13.56,3.77,0.12,0.2,0.39,0.2,339130.4347826087,0.75,48.0,1.0,1,0,0
studio,10000000.0,18.0,0.0,5.0,10.0,"москва, ул. проспект вернадского, 41с1 (12 км до центра)",55.673783,37.50434,Проспект Вернадского,4.0,2.0,косметический ремонт,монолитные,2002.0,2.9,не угловая,unknown,41с1,двор,наземный паркинг,нет,https://msk.etagi.com/realty/12621548/,raw,0.31,geo_recomputed,11.16,4.48,0.12,0.27,0.41,0.08,555555.5555555555,0.5,24.0,1.0,15,0,0
all,22600000.0,66.0,2.0,6.0,25.0,"москва, ул. валдайский проезд, 10к1 (16 км до центра)",55.867071,37.467365,Беломорская,7.0,10.0,косметический ремонт,монолитный железобетонный каркас,2002.0,2.68,не угловая,unknown,10к1,двор,наземный паркинг,нет,https://msk.etagi.com/realty/12471535/,raw,0.6,geo_recomputed,15.78,1.76,0.14,0.12,0.21,0.11,342424.24242424243,0.24,24.0,1.0,16,0,0
3k,43500000.0,88.0,3.0,9.0,25.0,"москва, ул. дмитровское шоссе, 107к3 (15 км до центра)",55.88095,37.54118,Яхромская,6.0,14.0,косметический ремонт,монолитные,2002.0,2.68,не угловая,пассажирский и грузовой,107к3,двор,"подземный паркинг, наземный паркинг",нет,https://msk.etagi.com/realty/12161628/,raw,0.48,geo_recomputed,15.05,2.69,0.45,0.26,0.31,0.16,494318.1818181818,0.36,24.0,1.0,16,0,0
