source_group,price,area_total,rooms,floor,floors_total,address,latitude,longitude,metro,metro_walk_min,kitchen_area,renovation,walls,build_year,ceiling_height,floor_position,elevator,house_number,yard,parking,playground,link,address_source,metro_distance_km,metro_source,distance_to_center_km,distance_to_mkad_km,distance_to_school_km,distance_to_kindergarten_km,distance_to_clinic_km,distance_to_mall_km,price_per_m2,floor_ratio,house_age,has_metro_near,geo_generation_cluster,is_synthetic,generation_method,parent_geo_cluster
all,51096466.51757624,62.5751346533907,3,2,8,,55.701409753760565,37.49543041592853,,,9.303957201653983,unknown,монолитные,2008,3.0,не угловая,"грузовой, пассажирский",,двор,подземный паркинг,нет,synthetic,,,,,,,,,,816561.8308391051,0.25,18.0,,0,1,geo_cluster_bootstrap_mixup_tail_v3,0
all,20931676.966143988,71.44327281738715,2,4,22,,55.692315918247495,37.460901883767896,,,12.390109443155497,косметический ремонт,панельные,1985,2.7,не угловая,unknown,,двор,"подземный паркинг, наземный паркинг",нет,synthetic,,,,,,,,,,292983.1758918223,0.18181818181818182,41.0,,0,1,geo_cluster_bootstrap_mixup_tail_v3,0
all,31090504.20246472,63.89468656962359,2,22,35,,55.68441272194634,37.445703196901675,,,20.597350958380606,unknown,монолитные железо-керамзитно бетонные,1970,2.8,не угловая,unknown,,двор,"подземный паркинг, наземный паркинг",нет,synthetic,,,,,,,,,,486589.82259168907,0.6285714285714286,56.0,,0,1,geo_cluster_bootstrap_mixup_tail_v3,0
1k,39817832.496267706,61.35012918408468,1,29,39,,55.696515961429455,37.46941895875829,,,19.954703323540063,косметический ремонт,кирпичные,2002,2.64,не угловая,unknown,,двор,"подземный паркинг, наземный паркинг",нет,synthetic,,,,,,,,,,649026.0579043274,0.7435897435897436,24.0,,0,1,geo_cluster_bootstrap_mixup_tail_v3,0
1k,16251854.666523507,31.962627627791058,1,6,14,,55.7292650382558,37.45270713797798,,,8.212031071881619,косметический ремонт,кирпич красный,1977,2.68,не угловая,unknown,,двор,наземный паркинг,нет,synthetic,,,,,,,,,,508464.2869722246,0.42857142857142855,49.0,,0,1,geo_cluster_bootstrap_mixup_tail_v3,0
all-ramenki,99446857.6600174,133.23547295154023,0,8,25,,55.69672615259559,37.47245555855352,,,14.388887736863257,без отделки,сборно-монолитный железобетон,2002,2.68,не угловая,unknown,,двор,"подземный паркинг, наземный паркинг",нет,synthetic,,,,,,,,,,746399.2543201144,0.32,24.0,,0,1,geo_cluster_bootstrap_mixup_tail_v3,0
all,19443429.74223263,62.274989697201164,2,3,19,,55.70185016976028,37.393333039099424,,,14.44050867152042,черновая отделка,монолитные,2025,2.68,не угловая,unknown,,unknown,unknown,нет,synthetic,,,,,,,,,,312218.9154389612,0.15789473684210525,1.0,,0,1,geo_cluster_bootstrap_mixup_tail_v3,0
all,51313088.029134884,98.77195275045943,3,16,16,,55.691135054838774,37.48621680575882,,,12.53170242535647,косметический ремонт,монолитные,2011,2.68,не угловая,"пассажирский, грузовой",,двор,"наземный паркинг, гостевой паркинг",нет,synthetic,,,,,,,,,,519510.7173670433,1.0,15.0,,0,1,geo_cluster_bootstrap_mixup_tail_v3,0
2k,41966108.79192944,90.86471686943992,2,23,32,,55.66743557321902,37.48252079170598,,,9.246382311119504,черновая отделка,монолитные,2025,2.69,не угловая,unknown,,детская площадка,unknown,нет,synthetic,,,,,,,,,,461852.63364908687,0.71875,1.0,,0,1,geo_cluster_bootstrap_mixup_tail_v3,0
1k,16537261.364066623,33.050366928302324,1,6,15,,55.72900103843978,37.453207897882244,,,7.073848234871336,косметический ремонт,кирпич красный,2003,2.64,не угловая,unknown,,двор,наземный паркинг,нет,synthetic,,,,,,,,,,500365.43920803245,0.4,23.0,,0,1,geo_cluster_bootstrap_mixup_tail_v3,0
studio,5928884.225563997,10.0,0,8,10,,55.70349626877041,37.457196117758095,,,2.682161640072993,евроремонт,монолитно-кирпичный,1969,2.68,не угловая,пассажирский,,двор,наземный паркинг,нет,synthetic,,,,,,,,,,592888.4225563997,0.8,57.0,,0,1,geo_cluster_bootstrap_mixup_tail_v3,0
all,14142363.04985633,34.13369060481398,1,4,5,,55.725476716231256,37.4155607739246,,,7.561434294863045,косметический ремонт,кирпичные,2019,2.64,не угловая,"пассажирский, грузовой",,двор,наземный паркинг,есть,synthetic,,,,,,,,,,414322.7057862237,0.8,7.0,,0,1,geo_cluster_bootstrap_mixup_tail_v3,0
all,4061667.118175704,52.193663388430494,2,1,6,,55.72079543533742,37.436183614668856,,,6.002941469031647,косметический ремонт,кирпичные,2011,2.68,не угловая,"пассажирский, грузовой",,двор,unknown,нет,synthetic,,,,,,,,,,77819.16145545042,0.16666666666666666,15.0,,0,1,geo_cluster_bootstrap_mixup_tail_v3,0
all,29520048.42546819,70.02801047287807,3,2,19,,55.69184074340836,37.49735005116976,,,8.75393184213901,евроремонт,панельные,1984,2.8,не угловая,"пассажирский, грузовой",,двор,наземный паркинг,есть,synthetic,,,,,,,,,,421546.2959197069,0.10526315789473684,42.0,,0,1,geo_cluster_bootstrap_mixup_tail_v3,0
all,4516833.647536662,57.80176152895668,2,1,5,,55.72032121327252,37.4365231937885,,,7.332514559172603,косметический ремонт,кирпичные,2002,2.7,не угловая,"пассажирский, грузовой",,двор,unknown,нет,synthetic,,,,,,,,,,78143.52933299248,0.2,24.0,,0,1,geo_cluster_bootstrap_mixup_tail_v3,0
4k,20134110.078865483,91.34423931085621,4,2,16,,55.710265417149735,37.40601918092883,,,13.498494981035957,современный ремонт,монолитно-каркасные,2003,2.8,не угловая,unknown,,unknown,unknown,нет,synthetic,,,,,,,,,,220420.14067626654,0.125,23.0,,0,1,geo_cluster_bootstrap_mixup_tail_v3,0
all,30917575.24566289,52.22039456390128,2,16,38,,55.70350453309043,37.46340584210268,,,26.35052324194585,ремонт по дизайн-проекту,монолитно-кирпичный,2024,2.68,не угловая,"пассажирский, грузовой",,двор,unknown,есть,synthetic,,,,,,,,,,592059.3956414775,0.42105263157894735,2.0,,0,1,geo_cluster_bootstrap_mixup_tail_v3,0
2k,46343755.16050513,82.28773341213171,2,7,30,,55.718058647863934,37.474918479223035,,,7.216253114332579,евроремонт,монолитные,1961,2.64,не угловая,unknown,,unknown,unknown,нет,synthetic,,,,,,,,,,563191.5382624046,0.23333333333333334,65.0,,0,1,geo_cluster_bootstrap_mixup_tail_v3,0
2k,38682661.64110257,88.16207160979067,2,24,32,,55.66752026119901,37.48315847787955,,,9.672293477917012,черновая отделка,монолитные,2002,2.68,не угловая,unknown,,детская площадка,unknown,нет,synthetic,,,,,,,,,,438767.61213499814,0.75,24.0,,0,1,geo_cluster_bootstrap_mixup_tail_v3,0
4k,54916675.59689612,121.87584213265104,4,21,31,,55.667049323727824,37.482650564761315,,,7.512125746898662,черновая отделка,монолитные,1996,3.1,не угловая,unknown,,детская площадка,unknown,нет,synthetic,,,,,,,,,,450595.25034603814,0.6774193548387096,30.0,,0,1,geo_cluster_bootstrap_mixup_tail_v3,0
all,34183144.68023181,83.58113165238382,3,12,32,,55.694460016599606,37.46268576053262,,,19.88621397261523,современный ремонт,монолитные,1985,3.0,не угловая,"пассажирский, грузовой",,двор,"подземный паркинг, гостевой паркинг",нет,synthetic,,,,,,,,,,408981.5967364552,0.375,41.0,,0,1,geo_cluster_bootstrap_mixup_tail_v3,0
all,13688674.476997986,35.4230608201885,1,9,16,,55.71776400240945,37.423794749613734,,,9.137518199837215,косметический ремонт,монолитные,2003,2.51,не угловая,пассажирский,,двор,наземный паркинг,нет,synthetic,,,,,,,,,,386433.98283630144,0.5625,23.0,,0,1,geo_cluster_bootstrap_mixup_tail_v3,0
2k,30878525.15146226,41.443072539981785,2,4,4,,55.67437163993542,37.44731732930905,,,5.2176761425979485,косметический ремонт,кирпичные,2000,2.68,не угловая,unknown,,двор,"наземный паркинг, гостевой паркинг",есть,synthetic,,,,,,,,,,745082.9115450481,1.0,26.0,,0,1,geo_cluster_bootstrap_mixup_tail_v3,0
all-mozhaiskii,23977117.164129086,48.484978216949926,2,7,22,,55.73364084808069,37.46034550720249,,,8.616748677797581,евроремонт,монолитные,2003,2.64,не угловая,"пассажирский, грузовой, пассажирский и грузовой",,двор,наземный паркинг,есть,synthetic,,,,,,,,,,494526.7182928607,0.3181818181818182,23.0,,0,1,geo_cluster_bootstrap_mixup_tail_v3,0
3k,27592633.302172437,75.4998164024367,3,16,16,,55.73124371426699,37.416261984726276,,,10.136507747544472,евроремонт,панельные,2002,2.68,не угловая,"пассажирский, грузовой",,двор,наземный паркинг,нет,synthetic,,,,,,,,,,365466.2304752559,1.0,24.0,,0,1,geo_cluster_bootstrap_mixup_tail_v3,0
2k,19048145.60665701,43.61269832078919,2,21,21,,55.69393841832736,37.46019867619791,,,9.190431050491384,косметический ремонт,сборно-монолитный железобетонный каркас,2002,2.64,не угловая,unknown,,unknown,unknown,нет,synthetic,,,,,,,,,,436756.8699040386,1.0,24.0,,0,1,geo_cluster_bootstrap_mixup_tail_v3,0
all,18078183.116684407,60.73957493650538,2,3,19,,55.7030232992004,37.391774819468075,,,14.764941410907216,черновая отделка,монолитные,2025,2.68,не угловая,unknown,,unknown,unknown,нет,synthetic,,,,,,,,,,297634.337013102,0.15789473684210525,1.0,,0,1,geo_cluster_bootstrap_mixup_tail_v3,0
1k,14371539.248977592,32.94948029671921,1,8,8,,55.70758466393089,37.39362529344651,,,7.411697338145236,unknown,монолитные,2002,2.68,не угловая,unknown,,unknown,unknown,нет,synthetic,,,,,,,,,,436168.9204065708,1.0,24.0,,0,1,geo_cluster_bootstrap_mixup_tail_v3,0
studio,23516388.675734695,27.739387013486002,0,3,29,,55.698651110280856,37.47208816474096,,,4.691420962827773,черновая отделка,монолитно-кирпичный,2002,3.0,не угловая,unknown,,двор,подземный паркинг,нет,synthetic,,,,,,,,,,847761.6561714857,0.10344827586206896,24.0,,0,1,geo_cluster_bootstrap_mixup_tail_v3,0
all-mozhaiskii,16588246.763703723,56.91792860523274,3,4,6,,55.72317080764039,37.41689945452308,,,6.480647326992622,требует ремонта / частичный ремонт,кирпичные,2022,3.0,не угловая,unknown,,двор,наземный паркинг,нет,synthetic,,,,,,,,,,291441.5048157372,0.6666666666666666,4.0,,0,1,geo_cluster_bootstrap_mixup_tail_v3,0
4k,77558307.43619634,183.05262933770425,5,20,20,,55.73342142881844,37.42731770053689,,,19.90274951171049,евроремонт,монолитно-кирпичный,2002,2.64,не угловая,unknown,,двор,"подземный паркинг, наземный паркинг",нет,synthetic,,,,,,,,,,423694.0366101656,1.0,24.0,,0,1,geo_cluster_bootstrap_mixup_tail_v3,0
2k,21560833.776005704,58.04196882873976,2,3,5,,55.68360200489665,37.45890559157631,,,8.857500662629368,косметический ремонт,кирпичные,2000,2.68,не угловая,unknown,,двор,наземный паркинг,нет,synthetic,,,,,,,,,,371469.7177076073,0.6,26.0,,0,1,geo_cluster_bootstrap_mixup_tail_v3,0
2k,36999774.29156997,87.18953181101816,2,24,32,,55.66783213873447,37.483574170120484,,,10.566448823484373,черновая отделка,монолитные,2002,2.68,не угловая,unknown,,детская площадка,unknown,нет,synthetic,,,,,,,,,,424360.28182564804,0.75,24.0,,0,1,geo_cluster_bootstrap_mixup_tail_v3,0
2k,28752903.332714237,69.25807349430598,2,3,24,,55.69256161080274,37.46136686625117,,,9.120163907995288,евроремонт,панельные,2002,2.6,не угловая,unknown,,двор,"подземный паркинг, наземный паркинг",нет,synthetic,,,,,,,,,,415155.97939752316,0.125,24.0,,0,1,geo_cluster_bootstrap_mixup_tail_v3,0
2k,42797633.44903544,71.05494227124473,2,6,32,,55.69376419776316,37.478594551920544,,,15.878188240991358,черновая отделка,монолитные,2002,2.68,не угловая,unknown,,двор,unknown,нет,synthetic,,,,,,,,,,602317.4754777789,0.1875,24.0,,0,1,geo_cluster_bootstrap_mixup_tail_v3,0
all,25007413.7524938,46.47631392932699,2,2,29,,55.699542145551234,37.46835717572628,,,16.96830733904031,косметический ремонт,кирпичные,1964,2.67,не угловая,unknown,,детская площадка,unknown,нет,synthetic,,,,,,,,,,538067.924029446,0.06896551724137931,62.0,,0,1,geo_cluster_bootstrap_mixup_tail_v3,0
all,44532840.43321059,53.22941501555669,2,2,12,,55.715329522009384,37.49794994949358,,,6.265658267201354,требует ремонта / частичный ремонт,монолитные,2024,2.64,не угловая,"грузовой, пассажирский",,двор,наземный паркинг,нет,synthetic,,,,,,,,,,836620.8875336229,0.16666666666666666,2.0,,0,1,geo_cluster_bootstrap_mixup_tail_v3,0
all,7090237.446514268,74.84528838720455,3,14,17,,55.69344210581284,37.496219102819445,,,10.24718352038163,косметический ремонт,панельные,1990,2.64,не угловая,unknown,,unknown,unknown,нет,synthetic,,,,,,,,,,94731.91431681899,0.8235294117647058,36.0,,0,1,geo_cluster_bootstrap_mixup_tail_v3,0
all,20521857.117600325,28.864570297037904,0,4,31,,55.69329078064422,37.47846554520726,,,3.451752164633149,черновая отделка,монолитные,2002,2.68,не угловая,unknown,,двор,подземный паркинг,нет,synthetic,,,,,,,,,,710970.470248306,0.12903225806451613,24.0,,0,1,geo_cluster_bootstrap_mixup_tail_v3,0
studio,22964394.963766713,28.173845657363188,0,4,28,,55.69726030166992,37.47138021507699,,,5.190396173797138,черновая отделка,монолитно-кирпичный,2003,2.5,не угловая,unknown,,двор,подземный паркинг,нет,synthetic,,,,,,,,,,815096.2152291413,0.14285714285714285,23.0,,0,1,geo_cluster_bootstrap_mixup_tail_v3,0
all,26916341.777688503,54.32897894149182,2,12,15,,55.66669209778691,37.46641691052178,,,10.492415786701594,unknown,панельные,2021,2.6,не угловая,"пассажирский, грузовой",,двор,"наземный паркинг, парковка во дворе",нет,synthetic,,,,,,,,,,495432.4984954228,0.8,5.0,,0,1,geo_cluster_bootstrap_mixup_tail_v3,0
2k,45691206.8785116,69.65461278255829,2,3,32,,55.693010383448026,37.47859542632275,,,9.31933585345682,черновая отделка,монолитные,2026,2.68,не угловая,unknown,,двор,подземный паркинг,нет,synthetic,,,,,,,,,,655968.1412794072,0.09375,0.0,,0,1,geo_cluster_bootstrap_mixup_tail_v3,0
1k,18986587.01466334,37.64092725934575,1,4,22,,55.72161766984458,37.46353413373563,,,8.928468468737943,современный ремонт,панельные,2022,2.68,не угловая,"пассажирский, грузовой",,двор,наземный паркинг,есть,synthetic,,,,,,,,,,504413.3712181391,0.18181818181818182,4.0,,0,1,geo_cluster_bootstrap_mixup_tail_v3,0
all,125906118.9346324,196.19913343451466,4,28,32,,55.69360209864008,37.477754416275104,,,41.165039254071516,ремонт по дизайн-проекту,монолитный железобетонный каркас,1996,2.68,не угловая,unknown,,unknown,unknown,нет,synthetic,,,,,,,,,,641726.1724382491,0.875,30.0,,0,1,geo_cluster_bootstrap_mixup_tail_v3,0
2k,94054861.58107749,84.74109757197319,2,5,12,,55.69174346215702,37.482940085667316,,,26.334297437568303,без отделки,блоки железобетонные,2003,3.0,не угловая,unknown,,двор,"наземный паркинг, подземный паркинг, гостевой паркинг",нет,synthetic,,,,,,,,,,1109908.4656201655,0.4166666666666667,23.0,,0,1,geo_cluster_bootstrap_mixup_tail_v3,0
2k,18470371.43392248,41.8554845943431,2,3,5,,55.71830513833512,37.43507160393827,,,5.919805409897061,косметический ремонт,панельные,2002,2.68,не угловая,unknown,,двор,"наземный паркинг, гостевой паркинг",нет,synthetic,,,,,,,,,,441289.1551235034,0.6,24.0,,0,1,geo_cluster_bootstrap_mixup_tail_v3,0
all,50001097.84212114,84.50088037205292,2,16,21,,55.713646311152864,37.43698159152692,,,44.24045773940434,ремонт по дизайн-проекту,монолитно-кирпичный,2024,2.68,угловая,"пассажирский, грузовой",,двор,"наземный паркинг, подземный паркинг, гостевой паркинг",есть,synthetic,,,,,,,,,,591722.8036201391,0.7619047619047619,2.0,,0,1,geo_cluster_bootstrap_mixup_tail_v3,0
1k,6742103.155434033,38.90172558654904,1,14,14,,55.724891656558455,37.43540591321714,,,10.507084250792124,косметический ремонт,монолитно-заливные,1952,2.68,не угловая,unknown,,детская площадка,unknown,нет,synthetic,,,,,,,,,,173311.15917812227,1.0,74.0,,0,1,geo_cluster_bootstrap_mixup_tail_v3,0
4k,68305232.0914733,188.5520254730893,5,21,21,,55.733507436492175,37.42782640480973,,,20.06557385562777,евроремонт,монолитно-кирпичный,2008,2.64,не угловая,unknown,,двор,"подземный паркинг, наземный паркинг",нет,synthetic,,,,,,,,,,362261.990663272,1.0,18.0,,0,1,geo_cluster_bootstrap_mixup_tail_v3,0
3k,51188895.8476559,103.88958181324129,3,11,66,,55.68539772748135,37.482715953381366,,,16.179521345354875,требует ремонта / частичный ремонт,панельные,2007,3.0,не угловая,unknown,,unknown,unknown,нет,synthetic,,,,,,,,,,492724.0533095648,0.16666666666666666,19.0,,0,1,geo_cluster_bootstrap_mixup_tail_v3,0
2k,18244591.9612606,30.34010837277894,2,3,6,,55.72415791870748,37.458717536056746,,,4.974563486416386,unknown,кирпичные,2002,2.68,не угловая,unknown,,двор,"наземный паркинг, гостевой паркинг",есть,synthetic,,,,,,,,,,601335.7545429731,0.5,24.0,,0,1,geo_cluster_bootstrap_mixup_tail_v3,0
all,16412617.593478207,41.973084572026224,1,9,16,,55.71889973645632,37.42334761784045,,,9.385961205391435,косметический ремонт,монолитные,2002,2.64,не угловая,пассажирский,,двор,наземный паркинг,нет,synthetic,,,,,,,,,,391027.1966148686,0.5625,24.0,,0,1,geo_cluster_bootstrap_mixup_tail_v3,0
3k,62177367.608202666,130.1034939262603,3,45,65,,55.70805696634344,37.49299865238369,,,19.784603366542225,требует ремонта / частичный ремонт,монолитные,1985,2.68,не угловая,unknown,,unknown,unknown,нет,synthetic,,,,,,,,,,477906.97798971774,0.6923076923076923,41.0,,0,1,geo_cluster_bootstrap_mixup_tail_v3,0
all,44542804.29861945,62.147322523390905,2,22,29,,55.72684264649176,37.450745079896286,,,18.009298767496983,ремонт по дизайн-проекту,монолитно-заливные,2020,2.7,не угловая,unknown,,детская площадка,unknown,нет,synthetic,,,,,,,,,,716729.2570304136,0.7586206896551724,6.0,,0,1,geo_cluster_bootstrap_mixup_tail_v3,0
all,20201920.534435082,35.281695978158915,1,25,32,,55.69383600344891,37.45440695471559,,,14.904096872456247,чистовая отделка,панельные,2002,2.8,не угловая,"пассажирский, грузовой, пассажирский и грузовой",,двор,подземный паркинг,нет,synthetic,,,,,,,,,,572589.2697148417,0.78125,24.0,,0,1,geo_cluster_bootstrap_mixup_tail_v3,0
1k,18916110.6990324,40.759701365653285,1,14,15,,55.7162981994386,37.44705749927697,,,9.214429137066986,с мебелью,кирпичные,1990,2.68,не угловая,unknown,,unknown,unknown,нет,synthetic,,,,,,,,,,464088.5498482164,0.9333333333333333,36.0,,0,1,geo_cluster_bootstrap_mixup_tail_v3,0
all,18577465.035950728,61.28740592275926,2,3,19,,55.70254399775987,37.390936410490504,,,14.418026540093033,черновая отделка,монолитные,2002,2.73,не угловая,unknown,,unknown,unknown,нет,synthetic,,,,,,,,,,303120.4332479657,0.15789473684210525,24.0,,0,1,geo_cluster_bootstrap_mixup_tail_v3,0
all,124867643.73923396,190.05827965699194,4,29,30,,55.69388702785805,37.47719362325372,,,38.76305217895906,ремонт по дизайн-проекту,монолитный железобетонный каркас,1977,2.65,не угловая,unknown,,unknown,unknown,нет,synthetic,,,,,,,,,,656996.6010667311,0.9666666666666667,49.0,,0,1,geo_cluster_bootstrap_mixup_tail_v3,0
all,33224635.303890318,79.13102979714019,3,7,31,,55.7093793593581,37.47431358814152,,,6.9476184411799915,требует ремонта / частичный ремонт,панельные,1978,2.68,не угловая,unknown,,детская площадка,наземный паркинг,нет,synthetic,,,,,,,,,,419868.6076633248,0.22580645161290322,48.0,,0,1,geo_cluster_bootstrap_mixup_tail_v3,0
all,21215508.97105301,28.848068631113414,0,4,33,,55.69311558621652,37.47990864269551,,,3.5970165668005794,черновая отделка,монолитные,2002,3.1,не угловая,unknown,,двор,подземный паркинг,нет,synthetic,,,,,,,,,,735422.1609196921,0.12121212121212122,24.0,,0,1,geo_cluster_bootstrap_mixup_tail_v3,0
all-fili-davydkovo,99710465.04684179,145.6390193783692,3,20,23,,55.73548320585332,37.45399123280299,,,43.38555005446531,без отделки,монолитные,1974,3.0,не угловая,"пассажирский, грузовой",,двор,подземный паркинг,нет,synthetic,,,,,,,,,,684641.1454322874,0.8695652173913043,52.0,,0,1,geo_cluster_bootstrap_mixup_tail_v3,0
all,19848291.181970317,62.38387609448619,2,2,19,,55.70161372019846,37.39110173274986,,,13.387034853216717,черновая отделка,монолитные,2002,2.68,не угловая,unknown,,unknown,unknown,нет,synthetic,,,,,,,,,,318163.8016834387,0.10526315789473684,24.0,,0,1,geo_cluster_bootstrap_mixup_tail_v3,0
3k,27121686.82123124,73.79380427031637,3,14,18,,55.73047019675398,37.41759105320154,,,10.99656172732635,евроремонт,панельные,2002,3.0,не угловая,"пассажирский, грузовой",,двор,наземный паркинг,нет,synthetic,,,,,,,,,,367533.38697488676,0.7777777777777778,24.0,,0,1,geo_cluster_bootstrap_mixup_tail_v3,0
all,20706783.034443997,60.255715284413675,3,5,9,,55.68659918544033,37.45603080946918,,,8.413059747326052,косметический ремонт,блочные,1990,2.63,не угловая,"пассажирский, грузовой",,двор,"наземный паркинг, гостевой паркинг",нет,synthetic,,,,,,,,,,343648.447897526,0.5555555555555556,36.0,,0,1,geo_cluster_bootstrap_mixup_tail_v3,0
1k,13801648.891738873,33.85301471285973,1,9,9,,55.70860182282961,37.396338178853675,,,7.262177758961005,unknown,монолитные,2002,2.68,не угловая,unknown,,unknown,unknown,нет,synthetic,,,,,,,,,,407693.34751436615,1.0,24.0,,0,1,geo_cluster_bootstrap_mixup_tail_v3,0
2k,29434827.440540314,54.43970557096678,2,13,22,,55.69798440677282,37.49876888565807,,,7.845150600503653,unknown,монолитные,2024,2.64,не угловая,"пассажирский, грузовой",,двор,"наземный паркинг, подземный паркинг, гостевой паркинг",есть,synthetic,,,,,,,,,,540686.749346385,0.5909090909090909,2.0,,0,1,geo_cluster_bootstrap_mixup_tail_v3,0
3k,55094499.82583414,71.61602159959561,3,2,41,,55.69694842516367,37.47052854070098,,,19.526527640631716,косметический ремонт,монолитные,2002,2.67,не угловая,"грузовой, пассажирский",,двор,"подземный паркинг, гостевой паркинг, наземный паркинг",нет,synthetic,,,,,,,,,,769304.11094136,0.04878048780487805,24.0,,0,1,geo_cluster_bootstrap_mixup_tail_v3,0
1k,15195626.110914344,31.03538043596088,1,6,15,,55.729529973821755,37.452135350140324,,,7.769471727010969,косметический ремонт,кирпич красный,2002,2.68,не угловая,unknown,,двор,наземный паркинг,нет,synthetic,,,,,,,,,,489622.6789379737,0.4,24.0,,0,1,geo_cluster_bootstrap_mixup_tail_v3,0
all,21481678.27816587,69.69259963476048,3,1,5,,55.73944854618464,37.4692154786572,,,9.690844877026352,требует ремонта / частичный ремонт,кирпично-панельные,2002,3.0,не угловая,unknown,,парковка,наземный паркинг,нет,synthetic,,,,,,,,,,308234.71058254916,0.2,24.0,,0,1,geo_cluster_bootstrap_mixup_tail_v3,0
all-ramenki,24752940.70657896,53.30388799421124,2,3,17,,55.68946513633901,37.49434523528348,,,9.253232104493684,косметический ремонт,панельные,1964,2.64,не угловая,"пассажирский, грузовой",,двор,наземный паркинг,есть,synthetic,,,,,,,,,,464374.01919475576,0.17647058823529413,62.0,,0,1,geo_cluster_bootstrap_mixup_tail_v3,0
all,83458819.80020957,83.42542853835992,3,29,53,,55.695763830887955,37.48580753050066,,,18.20003777272035,unknown,монолитные,1978,3.0,не угловая,"пассажирский, грузовой, пассажирский и грузовой",,двор,"подземный паркинг, наземный паркинг",нет,synthetic,,,,,,,,,,1000400.2528058251,0.5471698113207547,48.0,,0,1,geo_cluster_bootstrap_mixup_tail_v3,0
