source_group,price,area_total,rooms,floor,floors_total,address,latitude,longitude,metro,metro_walk_min,kitchen_area,renovation,walls,build_year,ceiling_height,floor_position,elevator,house_number,yard,parking,playground,link,address_source,metro_distance_km,metro_source,distance_to_center_km,distance_to_mkad_km,distance_to_school_km,distance_to_kindergarten_km,distance_to_clinic_km,distance_to_mall_km,price_per_m2,floor_ratio,house_age,has_metro_near,geo_generation_cluster
all,19400000.0,42.5,2.0,3.0,8.0,"москва, ул. трофимова, 4б",55.701308,37.662228,Автозаводская,7.0,9.0,косметический ремонт,кирпичные,1962.0,2.64,не угловая,"пассажирский, грузовой",4б,двор,unknown,нет,https://msk.etagi.com/realty/12615473/,raw,0.56,geo_recomputed,6.37,10.52,0.56,0.07,0.26,0.28,456470.5882352941,0.375,64.0,1,20
all,20700000.0,38.0,1.0,10.0,24.0,"москва, ул. кольская, 8",55.860752,37.650451,Свиблово,7.0,9.0,чистовая отделка,монолитный пенобетон,2002.0,2.68,не угловая,unknown,8,детская площадка,unknown,нет,https://msk.etagi.com/realty/12615521/,raw,0.61,geo_recomputed,12.27,3.93,0.71,0.39,0.38,0.25,544736.8421052631,0.4166666666666667,24.0,1,9
all,74900000.0,101.0,3.0,2.0,9.0,"москва, ул. самотёчная, 5 (2 км до центра)",55.775236,37.618327,Цветной бульвар,5.0,30.0,unknown,кирпичные,2005.0,2.64,не угловая,"пассажирский, грузовой",5,двор,наземный паркинг,нет,https://msk.etagi.com/realty/12603150/,raw,0.42,geo_recomputed,2.57,13.35,0.47,0.34,0.01,0.12,741584.1584158416,0.2222222222222222,21.0,1,1
all,16300000.0,41.0,1.0,10.0,24.0,"москва, ул. 6-я радиальная, 7/1к2 (17 км до центра)",55.603565,37.653084,Царицыно,23.0,14.0,unknown,монолитные,2022.0,2.5,не угловая,unknown,7/1к2,двор,"подземный паркинг, наземный паркинг",нет,https://msk.etagi.com/realty/12606631/,raw,1.92,geo_recomputed,16.69,3.4,0.37,0.49,0.46,0.12,397560.9756097561,0.4166666666666667,4.0,0,13
all,13200000.0,34.7,1.0,9.0,9.0,"москва, ул. ясеневая, 10к2",55.598782,37.720295,Домодедовская,15.0,9.0,косметический ремонт,панельные,1976.0,2.5,не угловая,"пассажирский, грузовой",10к2,двор,unknown,нет,https://msk.etagi.com/realty/12606666/,raw,1.28,geo_recomputed,18.28,0.96,0.08,0.2,0.68,0.17,380403.4582132565,1.0,50.0,1,17
all,25800000.0,64.7,2.0,15.0,23.0,"москва, ул. мячковский бульвар, 1",55.659119,37.751664,Братиславская,2.0,10.4,косметический ремонт,крупнопанельные железобетонные плиты,2002.0,3.0,не угловая,unknown,1,двор,парковка во дворе,нет,https://msk.etagi.com/realty/12606726/,raw,0.21,geo_recomputed,13.41,4.58,0.39,0.23,0.33,0.13,398763.52395672334,0.6521739130434783,24.0,1,17
all,12500000.0,36.5,1.0,20.0,24.0,"москва, ул. верхние поля, 45к1",55.667731,37.774014,Люблино,15.0,8.1,требует ремонта / частичный ремонт,панельные,2004.0,3.0,не угловая,"пассажирский, грузовой",45к1,двор,наземный паркинг,нет,https://msk.etagi.com/realty/12606911/,raw,1.25,geo_recomputed,13.66,3.92,0.24,0.21,0.38,0.14,342465.7534246575,0.8333333333333334,22.0,1,17
all,14500000.0,37.5,1.0,2.0,17.0,"москва, ул. борисовские пруды, 21к2",55.636936,37.723403,Борисово,16.0,9.0,евроремонт,панели железобетонные,2002.0,2.68,не угловая,unknown,21к2,детская площадка,unknown,нет,https://msk.etagi.com/realty/12607300/,raw,1.34,geo_recomputed,14.49,4.1,0.13,0.09,1.11,0.54,386666.6666666667,0.1176470588235294,24.0,0,17
all,14700000.0,31.5,1.0,15.0,25.0,"москва, ул. люблинская, 72ак2 (12 км до центра)",55.666919,37.733994,Депо,11.0,10.1,косметический ремонт,панельные,2024.0,2.65,не угловая,unknown,72ак2,двор,"подземный паркинг, наземный паркинг",нет,https://msk.etagi.com/realty/12607535/,raw,0.89,geo_recomputed,12.04,5.99,0.79,0.28,1.16,0.52,466666.6666666667,0.6,2.0,1,17
all,41000000.0,60.0,2.0,15.0,20.0,"москва, ул. автозаводская, 26/1к4 (6 км до центра)",55.705853,37.631874,Тульская,9.0,9.0,косметический ремонт,монолитные,2002.0,2.68,не угловая,unknown,26/1к4,двор,"подземный паркинг, наземный паркинг",нет,https://msk.etagi.com/realty/12607564/,raw,0.72,geo_recomputed,5.25,12.46,0.66,0.57,0.46,0.09,683333.3333333334,0.75,24.0,1,20
all,35500000.0,86.0,3.0,18.0,23.0,"москва, ул. 1-й грайвороновский проезд, 1/1",55.719003,37.72705,Новохохловская,6.0,6.0,unknown,монолитные,2020.0,2.64,не угловая,"пассажирский, грузовой",1/1,двор,"наземный паркинг, гостевой паркинг",есть,https://msk.etagi.com/realty/12607679/,raw,0.49,geo_recomputed,7.89,6.84,0.56,0.2,0.06,0.19,412790.6976744186,0.782608695652174,6.0,1,18
all,15800000.0,38.3,1.0,3.0,25.0,"москва, ул. дмитровское шоссе, 86 (14 км до центра)",55.869364,37.549857,Селигерская,6.0,10.0,косметический ремонт,монолитные,2013.0,2.64,не угловая,"пассажирский, грузовой",86,двор,наземный паркинг,есть,https://msk.etagi.com/realty/12607922/,raw,0.5,geo_recomputed,13.66,4.04,0.21,0.1,0.14,0.13,412532.637075718,0.12,13.0,1,21
all,16500000.0,39.8,1.0,24.0,33.0,"москва, ул. кавказский бульвар, 51к2 (14 км до центра)",55.62819,37.639581,Кантемировская,16.0,9.0,косметический ремонт,монолитные,2002.0,2.68,не угловая,unknown,51к2,двор,"подземный паркинг, наземный паркинг",нет,https://msk.etagi.com/realty/12591333/,raw,1.37,geo_recomputed,13.87,6.04,0.85,0.68,0.67,0.47,414572.8643216081,0.7272727272727273,24.0,0,13
all,23300000.0,58.0,2.0,10.0,21.0,"москва, ул. проезд шокальского, 28ак1 (14 км до центра)",55.878859,37.650352,Медведково,15.0,11.0,косметический ремонт,монолитные,2002.0,2.68,не угловая,unknown,28ак1,детская площадка,unknown,нет,https://msk.etagi.com/realty/12596706/,raw,1.24,geo_recomputed,14.25,1.94,0.1,0.18,0.53,0.33,401724.1379310345,0.4761904761904761,24.0,1,9
all,13800000.0,64.5,3.0,7.0,16.0,"москва, ул. 2-я вольская, 26",55.686284,37.927779,Некрасовка,22.0,7.8,евроремонт,панельные,1989.0,2.64,не угловая,"пассажирский, грузовой",26,двор,"наземный паркинг, гостевой паркинг",нет,https://msk.etagi.com/realty/12596937/,raw,1.85,geo_recomputed,20.88,5.94,0.33,0.41,0.75,0.17,213953.48837209304,0.4375,37.0,0,4
all,13500000.0,50.4,2.0,6.0,15.0,"6 к2, говорово, хутор говорово, район солнцево, москва, центральный федеральный округ, 119606, россия",55.648727,37.439104,Румянцево,21.0,6.8,требует ремонта / частичный ремонт,монолитно-кирпичный,2025.0,2.82,не угловая,"пассажирский и грузовой, пассажирский",к2,двор,"наземный паркинг, подземный паркинг, гостевой паркинг",нет,https://msk.etagi.com/realty/12597151/,geo,1.76,geo_recomputed,15.96,0.46,0.92,1.2,1.56,0.93,267857.14285714284,0.4,1.0,0,3
all,10999000.0,25.0,0.0,2.0,13.0,"москва, ул. шереметьевская, 21 (5 км до центра)",55.799851,37.615255,Марьина Роща,3.0,5.0,черновая отделка,монолитные,2002.0,3.0,не угловая,"грузовой, пассажирский, пассажирский и грузовой",21,двор,"подземный паркинг, наземный паркинг",нет,https://msk.etagi.com/realty/12598420/,raw,0.21,geo_recomputed,5.3,10.98,0.45,0.15,0.21,0.07,439960.0,0.1538461538461538,24.0,1,6
all,22000000.0,38.0,2.0,2.0,9.0,"москва, ул. госпитальный вал, 10/12",55.772239,37.708976,Лефортово,11.0,8.0,unknown,панельные,2002.0,2.68,не угловая,"пассажирский, грузовой",10/12,двор,unknown,нет,https://msk.etagi.com/realty/12599595/,raw,0.95,geo_recomputed,6.25,8.39,0.14,0.09,0.09,0.72,578947.3684210526,0.2222222222222222,24.0,1,7
all,15900000.0,34.0,1.0,8.0,8.0,"москва, ул. рязанский проспект, 51",55.724662,37.766262,Окская,7.0,5.7,косметический ремонт,кирпичные,1961.0,2.64,не угловая,"пассажирский, грузовой",51,двор,"наземный паркинг, гостевой паркинг",есть,https://msk.etagi.com/realty/12600300/,raw,0.57,geo_recomputed,9.92,4.59,0.15,0.23,0.66,0.23,467647.0588235294,1.0,65.0,1,18
all,27985000.0,45.0,1.0,12.0,29.0,"москва, ул. волгоградский проспект, 32/5к4 (5 км до центра)",55.720023,37.688782,Угрешская,7.0,9.0,косметический ремонт,монолитные,2023.0,3.0,не угловая,"пассажирский, грузовой",32/5к4,двор,"подземный паркинг, гостевой паркинг",нет,https://msk.etagi.com/realty/12600792/,raw,0.59,geo_recomputed,5.81,9.19,1.07,0.09,0.41,0.37,621888.8888888889,0.4137931034482758,3.0,1,18
all,17820000.0,27.0,0.0,17.0,26.0,"москва, ул. дмитровское шоссе, 73б",55.856124,37.555723,Верхние Лихоборы,5.0,5.0,unknown,монолитные,2002.0,2.68,не угловая,unknown,73б,двор,"наземный паркинг, полуподземный паркинг",нет,https://msk.etagi.com/realty/12600890/,raw,0.45,geo_recomputed,12.15,5.43,0.63,0.71,0.48,0.13,660000.0,0.6538461538461539,24.0,1,21
all,18000000.0,45.6,2.0,5.0,12.0,"москва, ул. веерная, 40к3 (17 км до центра)",55.712812,37.485367,Матвеевское,11.0,6.7,косметический ремонт,панельные,2002.0,2.5,не угловая,пассажирский,40к3,двор,наземный паркинг,нет,https://msk.etagi.com/realty/12601370/,raw,0.92,geo_recomputed,9.26,5.16,0.28,0.18,0.37,0.47,394736.84210526315,0.4166666666666667,24.0,1,0
all,28700000.0,78.3,3.0,6.0,25.0,"москва, ул. братеевская, 21к3",55.632057,37.754116,Борисово,8.0,9.0,unknown,монолитные,2000.0,2.7,не угловая,unknown,21к3,двор,"наземный паркинг, гостевой паркинг",есть,https://msk.etagi.com/realty/12583976/,raw,0.68,geo_recomputed,15.93,2.36,0.27,0.24,0.75,0.16,366538.9527458493,0.24,26.0,1,17
all,14500000.0,35.0,1.0,24.0,24.0,"тимирязевский район, москва, центральный федеральный округ, 125635, россия",55.848427,37.560368,Лихоборы,6.0,14.0,чистовая отделка,панельные,2002.0,2.68,не угловая,unknown,к3.6,детская площадка,unknown,нет,https://msk.etagi.com/realty/12592366/,geo,0.52,geo_recomputed,11.24,6.28,0.59,0.88,1.04,0.31,414285.71428571426,1.0,24.0,1,21
all,28000000.0,63.5,2.0,15.0,33.0,"москва, ул. проспект будённого, 51к1 (8 км до центра)",55.760454,37.737767,Шоссе Энтузиастов,8.0,12.5,unknown,другое,2002.0,2.7,не угловая,пассажирский,51к1,двор,"наземный паркинг, парковка во дворе, гостевой паркинг",нет,https://msk.etagi.com/realty/12593419/,raw,0.7,geo_recomputed,7.7,6.57,0.32,0.16,0.24,0.29,440944.88188976375,0.4545454545454545,24.0,1,7
all,19700000.0,57.8,2.0,7.0,17.0,"москва, ул. ангелов переулок, 11",55.852192,37.345733,Пятницкое шоссе,6.0,10.1,евроремонт,панельные,2002.0,2.64,не угловая,"пассажирский, грузовой",11,двор,"наземный паркинг, гостевой паркинг",есть,https://msk.etagi.com/realty/12593452/,raw,0.49,geo_recomputed,20.2,2.92,0.26,0.13,0.16,0.28,340830.4498269896,0.4117647058823529,24.0,1,2
