source_group,price,area_total,rooms,floor,floors_total,address,latitude,longitude,metro,metro_walk_min,kitchen_area,renovation,walls,build_year,ceiling_height,floor_position,elevator,house_number,yard,parking,playground,link,address_source,metro_distance_km,metro_source,distance_to_center_km,distance_to_mkad_km,distance_to_school_km,distance_to_kindergarten_km,distance_to_clinic_km,distance_to_mall_km,price_per_m2,floor_ratio,house_age,has_metro_near,geo_generation_cluster,is_synthetic,generation_method,parent_geo_cluster
2k,41966108.79192944,90.86471686943992,2,23,32,"Академ-Палас, 80А, проспект Вернадского, Тропарёво-Никулино, Москва, Центральный федеральный округ, 117571, Россия",55.66743557321902,37.48252079170598,Юго-Западная,6,9.246382311119504,черновая отделка,монолитные,2025,2.69,не угловая,unknown,,детская площадка,unknown,нет,synthetic,geo,0.48,geo_recomputed,12.58,2.94,0.6,0.59,0.5,0.27,461852.63364908687,0.71875,1.0,1,0,1,geo_cluster_bootstrap_mixup_tail_v3,0
1k,16537261.364066623,33.050366928302324,1,6,15,"4 к9, улица Ивана Франко, Давыдково, район Фили-Давыдково, Москва, Центральный федеральный округ, 121355, Россия",55.72900103843978,37.45320789788224,Кунцевская,5,7.073848234871336,косметический ремонт,кирпич красный,2003,2.64,не угловая,unknown,,двор,наземный паркинг,нет,synthetic,geo,0.45,geo_recomputed,10.49,4.52,0.27,0.37,0.54,0.34,500365.4392080325,0.4,23.0,1,0,1,geo_cluster_bootstrap_mixup_tail_v3,0
studio,5928884.225563997,10.0,0,8,10,"Аминьевское шоссе, район Очаково-Матвеевское, Москва, Центральный федеральный округ, 119517, Россия",55.70349626877041,37.457196117758095,Аминьевская,10,2.682161640072993,евроремонт,монолитно-кирпичный,1969,2.68,не угловая,пассажирский,,двор,наземный паркинг,нет,synthetic,geo,0.82,geo_recomputed,11.3,3.11,0.6,0.57,1.5,0.25,592888.4225563997,0.8,57.0,1,0,1,geo_cluster_bootstrap_mixup_tail_v3,0
all,14142363.04985633,34.13369060481398,1,4,5,"24 к1, улица Гришина, Можайский район, Москва, Центральный федеральный округ, 121354, Россия",55.725476716231256,37.4155607739246,Рабочий Посёлок,2,7.561434294863045,косметический ремонт,кирпичные,2019,2.64,не угловая,"пассажирский, грузовой",,двор,наземный паркинг,есть,synthetic,geo,0.16,geo_recomputed,12.87,2.14,0.32,0.39,0.9,0.14,414322.7057862237,0.8,7.0,1,0,1,geo_cluster_bootstrap_mixup_tail_v3,0
all,4061667.118175704,52.193663388430494,2,1,6,"Горздрав, Можайское шоссе (дублёр), Можайский район, Москва, Центральный федеральный округ, 121374, Россия",55.72079543533742,37.436183614668856,Давыдково,14,6.002941469031647,косметический ремонт,кирпичные,2011,2.68,не угловая,"пассажирский, грузовой",,двор,unknown,нет,synthetic,geo,1.15,geo_recomputed,11.76,3.12,0.34,0.42,0.09,0.22,77819.16145545042,0.1666666666666666,15.0,1,0,1,geo_cluster_bootstrap_mixup_tail_v3,0
all,29520048.42546819,70.02801047287807,3,2,19,"9 к2, улица Раменки, район Раменки, Москва, Центральный федеральный округ, 119607, Россия",55.69184074340836,37.49735005116976,Раменки,8,8.75393184213901,евроремонт,панельные,1984,2.8,не угловая,"пассажирский, грузовой",,двор,наземный паркинг,есть,synthetic,geo,0.67,geo_recomputed,9.99,5.04,0.23,0.12,0.21,0.15,421546.2959197069,0.1052631578947368,42.0,1,0,1,geo_cluster_bootstrap_mixup_tail_v3,0
all,4516833.647536662,57.80176152895668,2,1,5,"16 к1, улица Багрицкого, Можайский район, Москва, Центральный федеральный округ, 121374, Россия",55.72032121327252,37.4365231937885,Давыдково,13,7.332514559172603,косметический ремонт,кирпичные,2002,2.7,не угловая,"пассажирский, грузовой",,двор,unknown,нет,synthetic,geo,1.1,geo_recomputed,11.76,3.11,0.3,0.38,0.15,0.26,78143.52933299248,0.2,24.0,1,0,1,geo_cluster_bootstrap_mixup_tail_v3,0
4k,20134110.078865483,91.3442393108562,4,2,16,"15, Вяземская улица, Можайский район, Москва, Центральный федеральный округ, 121353, Россия",55.710265417149735,37.40601918092883,Сетунь,19,13.498494981035956,современный ремонт,монолитно-каркасные,2003,2.8,не угловая,unknown,,unknown,unknown,нет,synthetic,geo,1.59,geo_recomputed,13.93,0.9,0.27,0.27,0.65,0.42,220420.14067626657,0.125,23.0,0,0,1,geo_cluster_bootstrap_mixup_tail_v3,0
all,30917575.24566289,52.22039456390128,2,16,38,"28, Матвеевская улица, Матвеевское, район Очаково-Матвеевское, Москва, Центральный федеральный округ, 119517, Россия",55.70350453309043,37.46340584210268,Аминьевская,6,26.35052324194585,ремонт по дизайн-проекту,монолитно-кирпичный,2024,2.68,не угловая,"пассажирский, грузовой",,двор,unknown,есть,synthetic,geo,0.54,geo_recomputed,10.96,3.46,0.27,0.45,1.38,0.15,592059.3956414775,0.4210526315789473,2.0,1,0,1,geo_cluster_bootstrap_mixup_tail_v3,0
2k,46343755.16050513,82.28773341213171,2,7,30,"Нежинская улица, Жилой комплекс «Нежинский Ковчег», район Очаково-Матвеевское, Москва, Центральный федеральный округ, 121352, Россия",55.718058647863934,37.474918479223035,Славянский бульвар,16,7.216253114332579,евроремонт,монолитные,1961,2.64,не угловая,unknown,,unknown,unknown,нет,synthetic,geo,1.3,geo_recomputed,9.59,4.88,0.59,0.39,0.17,0.48,563191.5382624046,0.2333333333333333,65.0,0,0,1,geo_cluster_bootstrap_mixup_tail_v3,0
2k,38682661.64110257,88.16207160979067,2,24,32,"Академ-Палас, 80А, проспект Вернадского, Тропарёво-Никулино, Москва, Центральный федеральный округ, 117571, Россия",55.66752026119901,37.48315847787955,Юго-Западная,6,9.672293477917012,черновая отделка,монолитные,2002,2.68,не угловая,unknown,,детская площадка,unknown,нет,synthetic,geo,0.49,geo_recomputed,12.55,2.98,0.63,0.56,0.49,0.29,438767.61213499814,0.75,24.0,1,0,1,geo_cluster_bootstrap_mixup_tail_v3,0
4k,54916675.59689612,121.87584213265104,4,21,31,"Академ-Палас, 80А, проспект Вернадского, Тропарёво-Никулино, Москва, Центральный федеральный округ, 117571, Россия",55.667049323727824,37.482650564761315,Юго-Западная,5,7.512125746898662,черновая отделка,монолитные,1996,3.1,не угловая,unknown,,детская площадка,unknown,нет,synthetic,geo,0.43,geo_recomputed,12.61,2.93,0.63,0.57,0.47,0.23,450595.25034603814,0.6774193548387096,30.0,1,0,1,geo_cluster_bootstrap_mixup_tail_v3,0
all,34183144.68023181,83.58113165238382,3,12,32,"Ароматный мир, Аминьевское шоссе, район Очаково-Матвеевское, Москва, Центральный федеральный округ, 119517, Россия",55.694460016599606,37.46268576053262,Аминьевская,4,19.88621397261523,современный ремонт,монолитные,1985,3.0,не угловая,"пассажирский, грузовой",,двор,"подземный паркинг, гостевой паркинг",нет,synthetic,geo,0.32,geo_recomputed,11.53,3.09,0.36,0.26,0.45,0.09,408981.5967364552,0.375,41.0,1,0,1,geo_cluster_bootstrap_mixup_tail_v3,0
all,13688674.476997986,35.4230608201885,1,9,16,"Ozon, 3 к3, Рябиновая улица, Можайский район, Москва, Центральный федеральный округ, 121471, Россия",55.71776400240945,37.423794749613734,Рабочий Посёлок,14,9.137518199837215,косметический ремонт,монолитные,2003,2.51,не угловая,пассажирский,,двор,наземный паркинг,нет,synthetic,geo,1.14,geo_recomputed,12.6,2.3,0.16,0.16,0.53,0.24,386433.98283630144,0.5625,23.0,1,0,1,geo_cluster_bootstrap_mixup_tail_v3,0
2k,30878525.15146226,41.443072539981785,2,4,4,"Никулинская улица, район Очаково-Матвеевское, Москва, Центральный федеральный округ, 119361, Россия",55.67437163993542,37.44731732930905,Озёрная,6,5.2176761425979485,косметический ремонт,кирпичные,2000,2.68,не угловая,unknown,,двор,"наземный паркинг, гостевой паркинг",есть,synthetic,geo,0.53,geo_recomputed,13.64,1.39,0.13,0.28,0.44,0.29,745082.9115450481,1.0,26.0,1,0,1,geo_cluster_bootstrap_mixup_tail_v3,0
all-mozhaiskii,23977117.16412909,48.484978216949926,2,7,22,"60 к2 с1, Кастанаевская улица, район Фили-Давыдково, Москва, Центральный федеральный округ, 121108, Россия",55.73364084808069,37.46034550720249,Пионерская,6,8.616748677797581,евроремонт,монолитные,2003,2.64,не угловая,"пассажирский, грузовой, пассажирский и грузовой",,двор,наземный паркинг,есть,synthetic,geo,0.48,geo_recomputed,9.93,5.1,0.3,0.2,0.23,0.27,494526.7182928607,0.3181818181818182,23.0,1,0,1,geo_cluster_bootstrap_mixup_tail_v3,0
3k,27592633.302172437,75.4998164024367,3,16,16,"8 к1, Кунцевская улица, район Кунцево, Москва, Центральный федеральный округ, 121351, Россия",55.73124371426699,37.41626198472627,Рабочий Посёлок,6,10.136507747544472,евроремонт,панельные,2002,2.68,не угловая,"пассажирский, грузовой",,двор,наземный паркинг,нет,synthetic,geo,0.48,geo_recomputed,12.69,2.36,0.34,0.18,0.28,0.22,365466.2304752559,1.0,24.0,1,0,1,geo_cluster_bootstrap_mixup_tail_v3,0
2k,19048145.60665701,43.61269832078919,2,21,21,"9А, Очаковское шоссе, район Очаково-Матвеевское, Москва, Центральный федеральный округ, 119530, Россия",55.69393841832736,37.46019867619791,Аминьевская,5,9.190431050491384,косметический ремонт,сборно-монолитный железобетонный каркас,2002,2.64,не угловая,unknown,,unknown,unknown,нет,synthetic,geo,0.44,geo_recomputed,11.69,2.93,0.25,0.14,0.52,0.24,436756.8699040386,1.0,24.0,1,0,1,geo_cluster_bootstrap_mixup_tail_v3,0
all,18078183.116684407,60.73957493650538,2,3,19,"40 к3, Сколковское шоссе, Можайский район, Москва, Центральный федеральный округ, 121353, Россия",55.7030232992004,37.391774819468075,Немчиновка,21,14.764941410907216,черновая отделка,монолитные,2025,2.68,не угловая,unknown,,unknown,unknown,нет,synthetic,geo,1.77,geo_recomputed,15.04,0.27,0.7,0.7,0.52,0.52,297634.337013102,0.1578947368421052,1.0,0,0,1,geo_cluster_bootstrap_mixup_tail_v3,0
1k,14371539.248977592,32.94948029671921,1,8,8,"Беловежская улица, Можайский район, Москва, Центральный федеральный округ, 121596, Россия",55.70758466393089,37.39362529344651,Немчиновка,18,7.411697338145236,unknown,монолитные,2002,2.68,не угловая,unknown,,unknown,unknown,нет,synthetic,geo,1.49,geo_recomputed,14.76,0.1,0.26,0.37,0.21,0.12,436168.9204065708,1.0,24.0,0,0,1,geo_cluster_bootstrap_mixup_tail_v3,0
studio,23516388.675734695,27.739387013486,0,3,29,"улица Олега Табакова, Кинематографический квартал, Жилой комплекс ""Событие"", район Раменки, Москва, Центральный федеральный округ, 119517, Россия",55.698651110280856,37.47208816474096,Аминьевская,3,4.691420962827773,черновая отделка,монолитно-кирпичный,2002,3.0,не угловая,unknown,,двор,подземный паркинг,нет,synthetic,geo,0.27,geo_recomputed,10.78,3.79,0.83,0.33,0.9,0.54,847761.6561714857,0.1034482758620689,24.0,1,0,1,geo_cluster_bootstrap_mixup_tail_v3,0
all-mozhaiskii,16588246.763703724,56.91792860523274,3,4,6,"15, улица Гришина, Можайский район, Москва, Центральный федеральный округ, 121354, Россия",55.72317080764039,37.41689945452308,Рабочий Посёлок,5,6.480647326992622,требует ремонта / частичный ремонт,кирпичные,2022,3.0,не угловая,unknown,,двор,наземный паркинг,нет,synthetic,geo,0.43,geo_recomputed,12.85,2.15,0.16,0.13,0.94,0.38,291441.5048157372,0.6666666666666666,4.0,1,0,1,geo_cluster_bootstrap_mixup_tail_v3,0
4k,77558307.43619634,183.05262933770425,5,20,20,"15, Молодогвардейская улица, район Кунцево, Москва, Центральный федеральный округ, 121615, Россия",55.73342142881844,37.42731770053689,Рабочий Посёлок,12,19.90274951171049,евроремонт,монолитно-кирпичный,2002,2.64,не угловая,unknown,,двор,"подземный паркинг, наземный паркинг",нет,synthetic,geo,1.03,geo_recomputed,11.97,3.1,0.28,0.3,0.34,0.62,423694.0366101656,1.0,24.0,1,0,1,geo_cluster_bootstrap_mixup_tail_v3,0
2k,21560833.776005704,58.04196882873976,2,3,5,"11, Большая Очаковская улица, Очаково, район Очаково-Матвеевское, Москва, Центральный федеральный округ, 119530, Россия",55.68360200489665,37.45890559157631,Очаково I,6,8.857500662629368,косметический ремонт,кирпичные,2000,2.68,не угловая,unknown,,двор,наземный паркинг,нет,synthetic,geo,0.47,geo_recomputed,12.43,2.46,0.12,0.56,0.28,0.42,371469.7177076073,0.6,26.0,1,0,1,geo_cluster_bootstrap_mixup_tail_v3,0
2k,36999774.29156997,87.18953181101816,2,24,32,"МИРЭА — Российский технологический университет, район Якиманка, Москва, Центральный федеральный округ, 119454, Россия",55.66783213873447,37.48357417012048,Юго-Западная,6,10.566448823484372,черновая отделка,монолитные,2002,2.68,не угловая,unknown,,детская площадка,unknown,нет,synthetic,geo,0.52,geo_recomputed,12.51,3.02,0.64,0.55,0.51,0.33,424360.281825648,0.75,24.0,1,0,1,geo_cluster_bootstrap_mixup_tail_v3,0
2k,28752903.332714237,69.25807349430598,2,3,24,"7, Очаковское шоссе, район Очаково-Матвеевское, Москва, Центральный федеральный округ, 119530, Россия",55.69256161080274,37.46136686625117,Аминьевская,7,9.120163907995288,евроремонт,панельные,2002,2.6,не угловая,unknown,,двор,"подземный паркинг, наземный паркинг",нет,synthetic,geo,0.55,geo_recomputed,11.72,2.97,0.42,0.19,0.37,0.31,415155.9793975232,0.125,24.0,1,0,1,geo_cluster_bootstrap_mixup_tail_v3,0
2k,42797633.44903544,71.05494227124473,2,6,32,"Мята Platinum, 5, улица Василия Ланового, Кинематографический квартал, Жилой комплекс ""Событие"", район Раменки, Москва, Центральный федеральный округ, 119607, Россия",55.69376419776316,37.478594551920544,Мичуринский проспект,8,15.878188240991358,черновая отделка,монолитные,2002,2.68,не угловая,unknown,,двор,unknown,нет,synthetic,geo,0.68,geo_recomputed,10.76,4.04,0.74,0.82,0.34,0.58,602317.4754777789,0.1875,24.0,1,0,1,geo_cluster_bootstrap_mixup_tail_v3,0
all,25007413.7524938,46.47631392932699,2,2,29,"Винлаб, 4Д к3, Аминьевское шоссе, район Очаково-Матвеевское, Москва, Центральный федеральный округ, 119530, Россия",55.699542145551234,37.46835717572628,Аминьевская,0,16.96830733904031,косметический ремонт,кирпичные,1964,2.67,не угловая,unknown,,детская площадка,unknown,нет,synthetic,geo,0.02,geo_recomputed,10.92,3.59,0.66,0.13,0.94,0.29,538067.924029446,0.0689655172413793,62.0,1,0,1,geo_cluster_bootstrap_mixup_tail_v3,0
all,44532840.43321059,53.22941501555669,2,2,12,"проспект Генерала Дорохова, посёлок Матвеевское, район Раменки, Москва, Центральный федеральный округ, 119501, Россия",55.715329522009384,37.49794994949358,Минская,11,6.265658267201354,требует ремонта / частичный ремонт,монолитные,2024,2.64,не угловая,"грузовой, пассажирский",,двор,наземный паркинг,нет,synthetic,geo,0.95,geo_recomputed,8.43,5.99,1.04,0.97,0.85,1.11,836620.8875336229,0.1666666666666666,2.0,1,0,1,geo_cluster_bootstrap_mixup_tail_v3,0
all,7090237.446514268,74.84528838720455,3,14,17,"Копирка, улица Светланова, район Раменки, Москва, Центральный федеральный округ, 119607, Россия",55.69344210581284,37.496219102819445,Раменки,7,10.24718352038163,косметический ремонт,панельные,1990,2.64,не угловая,unknown,,unknown,unknown,нет,synthetic,geo,0.62,geo_recomputed,9.93,5.05,0.14,0.17,0.07,0.05,94731.914316819,0.8235294117647058,36.0,1,0,1,geo_cluster_bootstrap_mixup_tail_v3,0
all,20521857.117600325,28.864570297037904,0,4,31,"7, улица Василия Ланового, Кинематографический квартал, Жилой комплекс ""Событие"", район Раменки, Москва, Центральный федеральный округ, 119607, Россия",55.69329078064422,37.47846554520726,Мичуринский проспект,8,3.451752164633149,черновая отделка,монолитные,2002,2.68,не угловая,unknown,,двор,подземный паркинг,нет,synthetic,geo,0.65,geo_recomputed,10.8,4.01,0.7,0.86,0.34,0.56,710970.470248306,0.1290322580645161,24.0,1,0,1,geo_cluster_bootstrap_mixup_tail_v3,0
studio,22964394.963766713,28.173845657363188,0,4,28,"Мосфильмовская улица, Кинематографический квартал, Жилой комплекс ""Событие"", район Раменки, Москва, Центральный федеральный округ, 119517, Россия",55.69726030166992,37.47138021507699,Аминьевская,4,5.190396173797138,черновая отделка,монолитно-кирпичный,2003,2.5,не угловая,unknown,,двор,подземный паркинг,нет,synthetic,geo,0.32,geo_recomputed,10.9,3.7,0.83,0.33,0.74,0.55,815096.2152291413,0.1428571428571428,23.0,1,0,1,geo_cluster_bootstrap_mixup_tail_v3,0
all,26916341.777688503,54.32897894149182,2,12,15,"проектируемый проезд № 5411, Олимпийская деревня, Тропарёво-Никулино, Москва, Центральный федеральный округ, 119602, Россия",55.66669209778691,37.46641691052178,Юго-Западная,13,10.492415786701594,unknown,панельные,2021,2.6,не угловая,"пассажирский, грузовой",,двор,"наземный паркинг, парковка во дворе",нет,synthetic,geo,1.1,geo_recomputed,13.33,2.06,0.27,0.17,0.41,0.25,495432.4984954228,0.8,5.0,1,0,1,geo_cluster_bootstrap_mixup_tail_v3,0
2k,45691206.8785116,69.65461278255829,2,3,32,"7, улица Василия Ланового, Кинематографический квартал, Жилой комплекс ""Событие"", район Раменки, Москва, Центральный федеральный округ, 119607, Россия",55.693010383448026,37.47859542632275,Мичуринский проспект,7,9.31933585345682,черновая отделка,монолитные,2026,2.68,не угловая,unknown,,двор,подземный паркинг,нет,synthetic,geo,0.62,geo_recomputed,10.81,4.01,0.69,0.87,0.33,0.55,655968.1412794072,0.09375,0.0,1,0,1,geo_cluster_bootstrap_mixup_tail_v3,0
