source_group,price,area_total,rooms,floor,floors_total,address,latitude,longitude,metro,metro_walk_min,kitchen_area,renovation,walls,build_year,ceiling_height,floor_position,elevator,house_number,yard,parking,playground,link,address_source,metro_distance_km,metro_source,distance_to_center_km,distance_to_mkad_km,distance_to_school_km,distance_to_kindergarten_km,distance_to_clinic_km,distance_to_mall_km,price_per_m2,floor_ratio,house_age,has_metro_near,geo_generation_cluster,is_synthetic,generation_method,parent_geo_cluster
2k,34002004.00783704,45.87392262440855,1.0,3.0,14.0,"Мосфильмовская улица, посёлок Матвеевское, район Раменки, Москва, Центральный федеральный округ, 119192, Россия",55.70704457279062,37.48450995751401,Матвеевское,4,6.4385557534739855,чистовая отделка,монолитные,2002.0,3.0811062034968244,,unknown,,unknown,unknown,,synthetic,geo,0.3,geo_recomputed,9.62,4.84,0.41,0.48,0.69,0.18,741205.5054944286,0.2142857142857142,24.0,1,0,1,geo_cluster_interpolation,0
all,66478521.10196137,118.51222675612809,4.0,38.0,42.0,"Давыдковская улица, Давыдково, район Фили-Давыдково, Москва, Центральный федеральный округ, 121352, Россия",55.717315405113055,37.47070125424733,Давыдково,15,12.51658997019966,евроремонт,монолитные,2002.0,2.6824673259254084,не угловая,unknown,,двор,"подземный паркинг, гостевой паркинг, наземный паркинг",нет,synthetic,geo,1.21,geo_recomputed,9.87,4.62,0.39,0.55,0.39,0.5,560942.300398755,0.9047619047619048,24.0,1,0,1,geo_cluster_interpolation,0
all,19251097.32910709,43.308581909846,1.0,9.0,10.0,"29 с28, Верейская улица, Можайский район, Москва, Центральный федеральный округ, 141357, Россия",55.70933821090251,37.4331987956808,Давыдково,16,8.513093313896103,unknown,монолитно-кирпичный,1976.0,2.924710921498357,не угловая,"пассажирский, грузовой",,двор,"парковка во дворе, наземный паркинг, подземный паркинг",нет,synthetic,geo,1.33,geo_recomputed,12.38,2.2,0.77,0.43,0.78,0.77,444509.9904028593,0.9,50.0,0,0,1,geo_cluster_interpolation,0
all,25968650.539544147,52.055969505512934,2.0,17.0,24.0,"Global Food Ingredients, 32, Рябиновая улица, район Очаково-Матвеевское, Москва, Центральный федеральный округ, 121471, Россия",55.69206144672482,37.420177673198914,Очаково I,26,23.125652945594023,unknown,монолитные железо-керамзитно бетонные,2002.0,2.6692598842032904,не угловая,unknown,,двор,"подземный паркинг, наземный паркинг",нет,synthetic,geo,2.17,geo_recomputed,13.95,0.47,0.64,1.97,1.42,0.54,498860.1842636696,0.7083333333333334,24.0,0,0,1,geo_cluster_interpolation,0
2k,20863559.576002117,51.74320553102373,2.0,5.0,19.0,"4Д к1, Аминьевское шоссе, район Очаково-Матвеевское, Москва, Центральный федеральный округ, 119530, Россия",55.69945317772318,37.46437496950799,Аминьевская,3,8.806892070542322,косметический ремонт,панельные,1984.0,2.699693000322359,,unknown,,unknown,unknown,,synthetic,geo,0.23,geo_recomputed,11.14,3.35,0.62,0.17,0.93,0.05,403213.51106654824,0.2631578947368421,42.0,1,0,1,geo_cluster_interpolation,0
2k,25772785.188657284,61.8568885701087,2.0,14.0,28.0,"район Очаково-Матвеевское, Москва, Центральный федеральный округ, 119530, Россия",55.69057618921846,37.447634896970065,Очаково I,10,16.713792382999365,евроремонт,монолитные железо-керамзитно бетонные,1996.0,2.679671007650746,,unknown,,unknown,unknown,,synthetic,geo,0.81,geo_recomputed,12.55,2.08,0.82,0.73,0.55,0.21,416651.8197798838,0.5,30.0,1,0,1,geo_cluster_interpolation,0
1k,28291929.45499057,45.04895148288958,1.0,20.0,33.0,"улица Лобачевского, Кинематографический квартал, Жилой комплекс ""Событие"", район Раменки, Москва, Центральный федеральный округ, 119517, Россия",55.690229728755554,37.47332908211872,Мичуринский проспект,9,14.862661460241798,unknown,монолитные,2017.0,3.007990971625329,не угловая,"пассажирский, грузовой",,двор,подземный паркинг,нет,synthetic,geo,0.75,geo_recomputed,11.26,3.58,0.27,0.46,0.19,0.82,628026.3696200867,0.6060606060606061,9.0,1,0,1,geo_cluster_interpolation,0
all-ramenki,26403515.96245625,54.14276267995537,2.0,15.0,35.0,"Нежинская улица, Жилой комплекс «Нежинский Ковчег», район Очаково-Матвеевское, Москва, Центральный федеральный округ, 121352, Россия",55.7178687375056,37.47506211052216,Славянский бульвар,16,7.819253827828932,черновая отделка,монолитные,1987.0,2.7350771671597,,unknown,,unknown,unknown,,synthetic,geo,1.32,geo_recomputed,9.59,4.88,0.59,0.37,0.15,0.46,487664.73403898376,0.4285714285714285,39.0,0,0,1,geo_cluster_interpolation,0
2k,30639352.348735023,76.19974872727596,2.0,13.0,19.0,"Gorilla Motors, 4 к3, проезд Олимпийской Деревни, Олимпийская деревня, Тропарёво-Никулино, Москва, Центральный федеральный округ, 119602, Россия",55.67485637001498,37.47090692061512,Озёрная,17,9.59580578539603,косметический ремонт,кирпичные,2002.0,2.68302106176303,не угловая,unknown,,двор,наземный паркинг,нет,synthetic,geo,1.46,geo_recomputed,12.49,2.78,0.21,0.21,0.45,0.06,402092.56408961833,0.6842105263157895,24.0,0,0,1,geo_cluster_interpolation,0
all,25993397.3558814,50.80114179936757,2.0,8.0,29.0,"45Б, Рябиновая улица, район Очаково-Матвеевское, Москва, Центральный федеральный округ, 121471, Россия",55.703705682961264,37.434657275647695,Давыдково,20,27.258019221965032,без отделки,монолитные,2013.0,2.7978664083882943,не угловая,unknown,,детская площадка,unknown,нет,synthetic,geo,1.67,geo_recomputed,12.55,1.89,1.39,0.91,1.41,0.97,511669.5498408069,0.2758620689655172,13.0,0,0,1,geo_cluster_interpolation,0
studio,22538469.454920016,33.26744932742153,1.0,14.0,18.0,"Очаковское шоссе, район Очаково-Матвеевское, Москва, Центральный федеральный округ, 119530, Россия",55.692468968782386,37.45975747928702,Аминьевская,7,9.487886003964508,unknown,монолитные,2015.0,2.719103762312906,не угловая,unknown,,двор,"подземный паркинг, наземный паркинг",нет,synthetic,geo,0.6,geo_recomputed,11.81,2.87,0.37,0.11,0.47,0.37,677493.1625534067,0.7777777777777778,11.0,1,0,1,geo_cluster_interpolation,0
all,57514099.03240874,69.60060251876368,2.0,8.0,14.0,"Мичуринский проспект, Тропарёво-Никулино, Москва, Центральный федеральный округ, 119454, Россия",55.68165206140473,37.47596091640701,Мичуринский проспект,11,19.07739834444083,unknown,панельные,1994.0,2.704042384686868,не угловая,"пассажирский, грузовой",,двор,"наземный паркинг, парковка во дворе",нет,synthetic,geo,0.93,geo_recomputed,11.75,3.36,0.59,0.56,0.47,0.39,826344.8440249274,0.5714285714285714,32.0,1,0,1,geo_cluster_interpolation,0
all,24557464.213071287,71.30820015255595,3.0,3.0,15.0,"Давыдковская улица, Давыдково, район Фили-Давыдково, Москва, Центральный федеральный округ, 121352, Россия",55.72008189011706,37.46986045640044,Славянский бульвар,13,7.676819057251911,с мебелью,монолитные,1979.0,2.644398670461577,не угловая,"пассажирский, грузовой",,двор,"наземный паркинг, гостевой паркинг, подземный паркинг",нет,synthetic,geo,1.05,geo_recomputed,9.8,4.76,0.2,0.29,0.49,0.38,344384.85560613405,0.2,47.0,1,0,1,geo_cluster_interpolation,0
all,51104327.89084587,92.8321653298222,3.0,9.0,33.0,"Улица Сергея Бондарчука, улица Василия Ланового, Кинематографический квартал, Жилой комплекс ""Событие"", район Раменки, Москва, Центральный федеральный округ, 119607, Россия",55.69311170760977,37.47714753049432,Мичуринский проспект,8,12.148463076271254,черновая отделка,"кирпичные, монолитно-каркасные",2021.0,2.740075677314067,не угловая,unknown,,детская площадка,unknown,нет,synthetic,geo,0.69,geo_recomputed,10.88,3.93,0.62,0.84,0.42,0.64,550502.3793130105,0.2727272727272727,5.0,1,0,1,geo_cluster_interpolation,0
all,32002396.4338762,57.93441731195912,2.0,5.0,12.0,"Жилой комплекс ""Золотые ключи 2"", район Раменки, Москва, Центральный федеральный округ, 119192, Россия",55.71124144370245,37.50159127184896,Минская,16,15.364124619672474,евроремонт,блочные,1984.0,2.6641698660687374,не угловая,грузовой,,двор,наземный паркинг,нет,synthetic,geo,1.34,geo_recomputed,8.47,6.01,0.78,0.74,0.35,0.83,552390.0630872506,0.4166666666666667,42.0,0,0,1,geo_cluster_interpolation,0
all,40394525.37558555,65.01669505606299,1.0,20.0,30.0,"Кинематографический квартал, Жилой комплекс ""Событие"", район Раменки, Москва, Центральный федеральный округ, 119517, Россия",55.692974043941966,37.46921198958153,Аминьевская,7,16.44219151035331,современный ремонт,монолитно-кирпичный,2016.0,2.6378191934433883,не угловая,"пассажирский, грузовой, пассажирский и грузовой",,двор,подземный паркинг,нет,synthetic,geo,0.57,geo_recomputed,11.29,3.46,0.35,0.54,0.25,0.43,621294.6588680632,0.6666666666666666,10.0,1,0,1,geo_cluster_interpolation,0
all,13948645.88593743,25.828549080161537,1.0,9.0,12.0,"Аминьевское шоссе (дублёр), район Очаково-Матвеевское, Москва, Центральный федеральный округ, 119517, Россия",55.70692998574336,37.4543030537615,Давыдково,11,5.383446785976742,черновая отделка,монолитно-кирпичный,2005.0,2.7191178530653013,не угловая,"пассажирский, грузовой",,двор,"подземный паркинг, наземный паркинг",нет,synthetic,geo,0.94,geo_recomputed,11.28,3.13,0.6,0.44,1.42,0.17,540047.5978207829,0.75,21.0,1,0,1,geo_cluster_interpolation,0
all,23096364.49793874,31.021316993578427,1.0,11.0,47.0,"118 с13, улица Лобачевского, Кинематографический квартал, Жилой комплекс ""Событие"", район Раменки, Москва, Центральный федеральный округ, 119517, Россия",55.69338204313911,37.47525230757236,Мичуринский проспект,10,7.003055262253354,без отделки,монолитные,2002.0,2.653768677263636,не угловая,unknown,,двор,подземный паркинг,нет,synthetic,geo,0.8,geo_recomputed,10.96,3.83,0.55,0.77,0.52,0.76,744532.0423604132,0.2340425531914893,24.0,1,0,1,geo_cluster_interpolation,0
4k,42882765.45867942,87.44264889745986,3.0,3.0,20.0,"44 к2, Мичуринский проспект, Кинематографический квартал, Жилой комплекс ""Событие"", район Раменки, Москва, Центральный федеральный округ, 119607, Россия",55.69506354898028,37.490618637539875,Мичуринский проспект,9,24.788081418907403,ремонт по дизайн-проекту,панельные,2003.0,2.7254867681877144,не угловая,"пассажирский, грузовой",,двор,наземный паркинг,есть,synthetic,geo,0.78,geo_recomputed,10.08,4.79,0.16,0.3,0.3,0.09,490410.1831243259,0.15,23.0,1,0,1,geo_cluster_interpolation,0
1k,12428213.317442635,38.748595466535065,1.0,13.0,14.0,"Дорогобужская улица, Можайский район, Москва, Центральный федеральный округ, 121354, Россия",55.71400837915699,37.41700334592938,Рабочий Посёлок,17,15.898440359543931,косметический ремонт,монолитно-заливные,2002.0,2.6716275769590494,не угловая,unknown,,детская площадка,unknown,нет,synthetic,geo,1.44,geo_recomputed,13.14,1.7,0.27,0.28,0.97,0.31,320739.7111509802,0.9285714285714286,24.0,0,0,1,geo_cluster_interpolation,0
2k,41612622.74383236,88.05091331004081,3.0,16.0,21.0,"40 с3, Очаковское шоссе, район Очаково-Матвеевское, Москва, Центральный федеральный округ, 119530, Россия",55.68372460098772,37.439830338528424,Очаково I,9,19.366326389593706,unknown,монолитно-кирпичный,2011.0,2.6894329435486504,не угловая,"пассажирский, грузовой",,двор,"наземный паркинг, подземный паркинг",нет,synthetic,geo,0.72,geo_recomputed,13.39,1.36,0.78,0.77,0.4,0.63,472597.286950425,0.7619047619047619,15.0,1,0,1,geo_cluster_interpolation,0
3k,27700009.95646898,60.85103128037361,2.0,11.0,16.0,"42 сА, Озёрная улица, район Очаково-Матвеевское, Москва, Центральный федеральный округ, 119361, Россия",55.67278040686987,37.44580644033239,Озёрная,5,10.744241632841842,косметический ремонт,панельные,1988.0,2.6731875235255673,,unknown,,unknown,unknown,,synthetic,geo,0.4,geo_recomputed,13.82,1.23,0.33,0.45,0.64,0.12,455210.1973233626,0.6875,38.0,1,0,1,geo_cluster_interpolation,0
all,19770579.968999736,35.44024942227963,1.0,5.0,27.0,"Аминьевское шоссе, район Очаково-Матвеевское, Москва, Центральный федеральный округ, 119517, Россия",55.69319367163219,37.46324947047743,Аминьевская,5,11.896812391326662,евроремонт,монолитные,2013.0,2.7182766470928583,не угловая,unknown,,двор,"подземный паркинг, наземный паркинг",нет,synthetic,geo,0.45,geo_recomputed,11.58,3.1,0.45,0.3,0.32,0.21,557856.6824806514,0.1851851851851851,13.0,1,0,1,geo_cluster_interpolation,0
4k,49817566.25584656,88.54171996470684,4.0,17.0,39.0,"улица Лобачевского, район Очаково-Матвеевское, Москва, Центральный федеральный округ, 119517, Россия",55.689561820078275,37.47103861938931,Мичуринский проспект,11,24.938700304168627,без отделки,монолитные,2005.0,2.9626781984322257,не угловая,"грузовой, пассажирский",,парковка,подземный паркинг,нет,synthetic,geo,0.88,geo_recomputed,11.42,3.42,0.13,0.3,0.26,0.77,562645.1154970118,0.4358974358974359,21.0,1,0,1,geo_cluster_interpolation,0
all,47798057.92696437,50.66467634383264,2.0,8.0,17.0,"проспект Генерала Дорохова, Жилой комплекс West Garden, район Раменки, Москва, Центральный федеральный округ, 119501, Россия",55.715424584363674,37.495740500063675,Минская,12,15.105697726210868,ремонт по дизайн-проекту,монолитные,2023.0,3.0058975018200873,не угловая,unknown,,детская площадка,unknown,нет,synthetic,geo,1.0,geo_recomputed,8.55,5.87,0.91,0.86,0.94,1.02,943419.7823072204,0.4705882352941176,3.0,1,0,1,geo_cluster_interpolation,0
all,21922792.53464034,37.72872618052699,2.0,27.0,33.0,"Нежинская улица, Жилой комплекс «Нежинский Ковчег», район Очаково-Матвеевское, Москва, Центральный федеральный округ, 119517, Россия",55.71084535520754,37.47170320901322,Матвеевское,11,14.642786284001724,ремонт по дизайн-проекту,монолитные,2020.0,2.68316336260292,,unknown,,unknown,unknown,,synthetic,geo,0.95,geo_recomputed,10.12,4.3,0.39,0.24,0.48,0.15,581063.6815497736,0.8181818181818182,6.0,1,0,1,geo_cluster_interpolation,0
all,18894981.88474209,41.855966975339214,2.0,9.0,11.0,"Верейская улица, Можайский район, Москва, Центральный федеральный округ, 141357, Россия",55.711816474967975,37.43763127508057,Давыдково,12,6.539754357735035,косметический ремонт,панельные,1987.0,2.661123103958741,не угловая,unknown,,двор,"наземный паркинг, гостевой паркинг",нет,synthetic,geo,0.96,geo_recomputed,12.01,2.59,0.47,0.09,0.62,1.01,451428.63133169693,0.8181818181818182,39.0,1,0,1,geo_cluster_interpolation,0
1k,17921069.268185668,33.89754822158593,1.0,13.0,21.0,"7 к2, Инициативная улица, Давыдково, район Фили-Давыдково, Москва, Центральный федеральный округ, 121357, Россия",55.71571268232703,37.45826108140793,Давыдково,5,10.633160275616415,косметический ремонт,кирпич красный,1988.0,2.735561180062086,не угловая,unknown,,двор,наземный паркинг,нет,synthetic,geo,0.42,geo_recomputed,10.65,3.88,0.18,0.48,0.42,0.07,528683.3475694725,0.6190476190476191,38.0,1,0,1,geo_cluster_interpolation,0
all,6617322.914542253,54.1834836315056,2.0,4.0,7.0,"10, Можайское шоссе, Можайский район, Москва, Центральный федеральный округ, 121471, Россия",55.721756240452414,37.43596680164235,Кунцевская,14,7.77816859703074,косметический ремонт,кирпичные,2002.0,2.546836579546158,не угловая,"пассажирский, грузовой",,двор,unknown,нет,synthetic,geo,1.13,geo_recomputed,11.74,3.17,0.45,0.35,0.04,0.15,122128.0447662936,0.5714285714285714,24.0,1,0,1,geo_cluster_interpolation,0
2k,28292098.69096008,50.04967535609569,2.0,8.0,12.0,"Верейская улица, Можайский район, Москва, Центральный федеральный округ, 141357, Россия",55.71327217894349,37.43530339733629,Давыдково,13,8.65868632921465,косметический ремонт,кирпичные,1992.0,2.6183178520171686,не угловая,unknown,,двор,"наземный паркинг, гостевой паркинг",есть,synthetic,geo,1.05,geo_recomputed,12.09,2.57,0.32,0.3,0.4,0.83,565280.363751936,0.6666666666666666,34.0,1,0,1,geo_cluster_interpolation,0
all-ramenki,66750986.23686777,148.2041489370612,4.0,17.0,25.0,"3 с2, проезд Загорского, Можайский район, Москва, Центральный федеральный округ, 121357, Россия",55.7205140585479,37.44349311665118,Давыдково,9,20.84721842250898,черновая отделка,монолитный железобетонный каркас,2009.0,2.684290398118783,,unknown,,unknown,unknown,,synthetic,geo,0.78,geo_recomputed,11.34,3.47,0.48,0.4,0.44,0.42,450398.90391473006,0.68,17.0,1,0,1,geo_cluster_interpolation,0
3k,28660591.128256824,54.59958569816093,2.0,13.0,20.0,"45 с4, Рябиновая улица, район Очаково-Матвеевское, Москва, Центральный федеральный округ, 121471, Россия",55.697580457425715,37.42946497316987,Очаково I,25,10.457683888945576,чистовая отделка,монолитные,2002.0,2.6742724794377803,не угловая,unknown,,детская площадка,unknown,нет,synthetic,geo,2.07,geo_recomputed,13.14,1.26,1.11,1.66,1.37,0.96,524923.2345223124,0.65,24.0,0,0,1,geo_cluster_interpolation,0
3k,49243645.0230747,106.91107093758092,3.0,28.0,47.0,"Раменский бульвар, посёлок Матвеевское, район Раменки, Москва, Центральный федеральный округ, 119501, Россия",55.702007309081,37.49528260169757,Матвеевское,10,15.636998143395306,требует ремонта / частичный ремонт,монолитные,1995.0,2.6789608125786772,,unknown,,unknown,unknown,,synthetic,geo,0.87,geo_recomputed,9.38,5.29,0.46,0.32,0.13,0.27,460603.79520307266,0.5957446808510638,31.0,1,0,1,geo_cluster_interpolation,0
all,31309625.06837856,42.37473822196704,1.0,8.0,24.0,"проезд Стройкомбината, Очаково, район Очаково-Матвеевское, Москва, Центральный федеральный округ, 119530, Россия",55.68845951010074,37.455172486199594,Очаково I,7,10.74719312044385,чистовая отделка,монолитные,2017.0,2.727188983752921,не угловая,unknown,,детская площадка,unknown,нет,synthetic,geo,0.59,geo_recomputed,12.3,2.45,0.53,0.56,0.79,0.33,738874.7726150594,0.3333333333333333,9.0,1,0,1,geo_cluster_interpolation,0
all,18956710.87160408,39.63958792137165,1.0,13.0,21.0,"14 к2, Давыдковская улица, Давыдково, район Фили-Давыдково, Москва, Центральный федеральный округ, 121352, Россия",55.72271315381897,37.466914847828754,Славянский бульвар,10,8.625927751260875,косметический ремонт,кирпичные,2013.0,2.684900864932554,,unknown,,unknown,unknown,,synthetic,geo,0.8,geo_recomputed,9.87,4.79,0.13,0.15,0.3,0.15,478226.739117628,0.6190476190476191,13.0,1,0,1,geo_cluster_interpolation,0
all,39227550.65565727,77.5796694326386,3.0,21.0,27.0,"25 к1, Мичуринский проспект, район Раменки, Москва, Центральный федеральный округ, 119192, Россия",55.69637357675501,37.502322948742865,Раменки,2,12.93560012584932,косметический ремонт,монолитно-кирпичный,2006.0,2.744703825560733,не угловая,"пассажирский, грузовой",,двор,наземный паркинг,нет,synthetic,geo,0.17,geo_recomputed,9.43,5.53,0.32,0.09,0.2,0.18,505642.1475180174,0.7777777777777778,20.0,1,0,1,geo_cluster_interpolation,0
2k,24137850.541293666,47.78709677962483,2.0,9.0,11.0,"проектируемый проезд № 5320, район Очаково-Матвеевское, Москва, Центральный федеральный округ, 121353, Россия",55.69726507574607,37.41882537206321,Очаково I,31,22.45929321801667,unknown,монолитно-кирпичный,2014.0,2.674345068647481,не угловая,"пассажирский, грузовой",,двор,"наземный паркинг, подземный паркинг",нет,synthetic,geo,2.54,geo_recomputed,13.75,0.67,1.18,1.48,1.75,0.63,505112.3036958673,0.8181818181818182,12.0,0,0,1,geo_cluster_interpolation,0
all,54832290.90174635,83.03756630001958,4.0,14.0,38.0,"Мосфильмовская улица, Кинематографический квартал, Жилой комплекс ""Событие"", район Раменки, Москва, Центральный федеральный округ, 119517, Россия",55.69668052232811,37.47246408377371,Аминьевская,5,21.14716217562982,unknown,монолитные,2019.0,3.0498889368113047,не угловая,"грузовой, пассажирский",,двор,"подземный паркинг, гостевой паркинг, наземный паркинг",нет,synthetic,geo,0.41,geo_recomputed,10.88,3.75,0.79,0.42,0.71,0.59,660331.1410119376,0.3684210526315789,7.0,1,0,1,geo_cluster_interpolation,0
2k,46274541.8416609,81.73002638661366,2.0,7.0,17.0,"8, Веерная улица, район Очаково-Матвеевское, Москва, Центральный федеральный округ, 119501, Россия",55.71063293367689,37.48912134343265,Матвеевское,9,21.447022116350855,предчистовая отделка,монолитный железобетонный каркас,2002.0,2.681971977136413,,unknown,,unknown,unknown,,synthetic,geo,0.79,geo_recomputed,9.17,5.26,0.61,0.33,0.65,0.35,566187.7756256309,0.4117647058823529,24.0,1,0,1,geo_cluster_interpolation,0
1k,18136273.057603836,35.499200646649506,2.0,7.0,11.0,"Веерная улица, район Очаково-Матвеевское, Москва, Центральный федеральный округ, 119501, Россия",55.71397987800057,37.4880249264526,Матвеевское,13,6.874438602277284,косметический ремонт,кирпич красный,1964.0,2.68741460470198,не угловая,unknown,,двор,наземный паркинг,нет,synthetic,geo,1.09,geo_recomputed,9.05,5.36,0.41,0.38,0.56,0.63,510892.43496291456,0.6363636363636364,62.0,1,0,1,geo_cluster_interpolation,0
studio,27349358.63874873,40.5828171644903,2.0,17.0,41.0,"улица Смоктуновского, Жилой комплекс «Событие», Жилой комплекс ""Событие"", район Раменки, Москва, Центральный федеральный округ, 119517, Россия",55.69360011967366,37.471849375137175,Аминьевская,8,14.391775857763212,без отделки,монолитные,2002.0,2.687136798145264,,unknown,,unknown,unknown,,synthetic,geo,0.63,geo_recomputed,11.11,3.64,0.45,0.65,0.42,0.55,673914.7390358903,0.4146341463414634,24.0,1,0,1,geo_cluster_interpolation,0
all-ramenki,95128268.50101452,126.44363368537871,4.0,9.0,16.0,"Гимназия № 1306, 15 к4, Мичуринский проспект, район Раменки, Москва, Центральный федеральный округ, 119192, Россия",55.69868291474832,37.5058387350732,Раменки,4,13.710329922799293,косметический ремонт,панельные,1981.0,2.636262250069854,не угловая,"пассажирский, грузовой",,двор,наземный паркинг,есть,synthetic,geo,0.29,geo_recomputed,9.09,5.83,0.19,0.13,0.16,0.09,752337.3516591263,0.5625,45.0,1,0,1,geo_cluster_interpolation,0
